소비유형코드,전자상거래/통신판매,식료품,의류/잡화,연료,가구/가전,의료/보건,자동차,여행/교통,  스포츠/오락/여가,  서적/문구,교육,  숙박,  음식점,공과금/개인 및 전문 서비스,금융/보험
2013/09,8,35.3,24.1,-6.2,-19.3,-8.2,-11.2,-6.5,6.2,4.8,-12.7,-29.8,-9.3,1.8,4.4
2013/10,4.8,-26.8,13.9,-0.3,7.1,11,18,3.3,14.3,-4.4,0.7,8.6,4.2,4,5.9
2013/11,6.1,0.7,5.5,3,14.4,-1,-2.6,-1.6,0.9,4.8,3.1,-5.2,-2.7,-9.4,-4.7
2013/12,1.6,0.2,-3.9,-2.1,-10.9,0,4.1,7.6,-11.4,13.1,0.5,16.1,12.6,0.3,4.5
2014/01,-10,30.2,-17.5,-4.3,-10.4,6.8,-6,-0.2,-17.6,-10.4,2.3,-7.2,-12.8,18.5,-8.3
2014/02,4.4,-29.9,1.2,-2.7,6.7,0.1,-3.2,0.7,-3.5,1.7,11.2,-5.9,-2.3,-9.9,10.7
2014/03,-1.6,8.5,9,1.9,14.4,-5.7,6.3,-4.2,20.1,31.8,-6.8,-11.9,8.9,-8.9,-2.9
2014/04,0.8,0.8,3,-1.4,-10.1,-0.2,8.6,8.5,4.2,-26.2,-12.1,4.6,-1.8,7.8,1.6
2014/05,-4.2,8.7,3.6,0.8,9.7,-2.5,-4.2,-5.3,6.5,-5.3,7.7,8.4,6.8,-7.7,-5.3
2014/06,6.4,-4.6,-9.5,-1.3,9.2,-1.6,1.9,1.7,-5.8,-6.1,-2.7,0,0.1,4.3,3.6
2014/07,4,-2,-5.6,2,4.3,10.1,13.7,26.3,-5.9,15.4,13.9,7.2,1.9,19.5,7.6
2014/08,-7.9,14.8,-11.3,1.8,-13.3,-1.8,-14.7,-8.7,1.2,-6.8,2.7,26.2,4,-19.9,-9.4
2014/09,7.5,16.6,15,-4.7,-4.7,-7,2.5,-7.2,1.9,5.4,-12,-27.1,-10,11.8,6.6
2014/10,2.8,-18.2,15.4,-0.8,-0.2,6.6,7.7,3.3,10.5,-6.6,-4.3,5,5.4,1.2,0.3
2014/11,3.6,-1,2.2,-0.6,16.1,-0.2,8.4,-3.3,-1,7.1,2.4,-9.7,-2.3,-9.7,-5.4
2014/12,9.8,-0.9,-3.2,-3.7,-11.7,-1,17.4,9.7,-10.8,10.5,5.5,25.1,8.2,1.2,10.8
2015/01,-10.1,0.9,-18.2,-12.2,-7.5,10.4,-25,2,-12.7,-7.5,4.3,-4.7,-6.1,23.6,-7.4
2015/02,-0.4,35.4,3.3,-1.9,4.2,-6.7,-2.9,-7.8,-5.4,-2.2,3.8,-10.2,-5.1,-16.3,2.1
2015/03,2.6,-29.8,13.1,8,14.4,3,6.8,0.6,21.6,36.8,-1.6,-6.3,5.9,-3.9,7.4
2015/04,1.1,5.5,2.4,-4.7,-11.8,1.1,6.8,12.9,5.7,-23.8,-12.6,0.3,1.4,10,0.7
2015/05,-7.3,11.6,8.2,4.5,8.2,-4.1,-10.8,-6.5,13.1,-7.7,8.1,13.8,9.9,-5.5,-7.5
2015/06,12.2,-6.7,-16.3,-3.8,4.2,-10,2.6,-8.8,-15.1,-6,-4.6,-16.5,-9.7,8.3,11.2
2015/07,0.9,-3.7,-3.2,2.8,20.2,12.9,7.8,26.1,0.5,15.2,13.7,15.6,6.9,18,1.6
2015/08,-9,6.1,-10.1,2.9,-4.3,0.7,-11.9,-12.6,1.6,-8,2.5,32.4,6.3,-21.9,-10
2015/09,5.6,38.3,15.2,-4.9,-13.3,-1,19.2,1.7,-1.8,5,-12.8,-31,-11,13.7,3.2
2015/10,8.6,-31.2,13.6,-2.5,10,7.5,3.5,3.5,16.1,-5.3,4.7,13.6,1.9,6.5,9.9
2015/11,4,1.5,1.5,0.8,6,-4.4,-2.2,-3,-5.4,-3,-5,-5.6,2,-11.6,-3.7
2015/12,2,2.6,-3.7,-0.2,-8.4,6.7,24.2,9.3,-10.1,24,9.5,15.6,6.9,6.4,6.8
2016/01,-2.1,4.5,-15.5,-4.1,-8.4,4,-35.5,-1.6,-15.3,-11.1,3.9,-3.7,-6.7,16.9,-8.6
2016/02,-2.5,16.5,-2.6,-3.7,6.3,-5.8,5.6,-5.4,-1.7,-1.2,2.3,-13.1,-5.4,-19.5,1.3
2016/03,7.3,-23.4,13.3,0.6,8.8,5.3,28,1.1,20.8,36.2,0.2,-5.1,5.2,4.5,11.2
2016/04,-1.8,5.6,6.6,-0.5,-7.3,-1.3,-2.3,5.7,9.8,-26.1,-11.4,1.7,3.8,8.5,-5.6
2016/05,6.4,5.3,4.7,3.9,-2,-5.9,-2.9,1,8.1,-6.2,4.4,11.8,8.2,-0.1,0.7
2016/06,1.6,-4.5,-6.9,3.8,3.4,4.1,15.4,6.8,-8.2,-0.1,2.4,-0.9,-3,6.2,4.2
2016/07,3.7,-4.4,-9.5,1.3,17.4,2.7,-15.8,3.2,-5.6,10.8,8.2,2.7,2.3,19.1,-1.1
2016/08,-1.6,2.8,-12.2,2.1,-3,-3.5,-16.7,-5.9,1.5,-8.5,2.2,39.8,4.6,-17.1,-1.3
2016/09,1.9,32.3,12,-5.9,-19.6,-2.1,10.6,-7.1,-2.2,4.3,-7.3,-30.9,-11.7,11.6,1
2016/10,2.5,-15.3,12.1,1.3,2.5,4.6,5.4,1.1,15.7,-5.5,-4.5,1.6,6.3,1.2,-1.1
2016/11,8.4,-4,6.3,6.3,2.3,3.1,8.5,9.4,-2.4,5.4,2.8,-0.5,-3.6,-5.3,4.2
2016/12,2.8,2.4,-7.6,1.9,-11.9,7.6,25.7,5.7,-14.3,12.7,4.9,9.1,8.1,0.1,1.8
2017/01,-2.7,29.7,-13.4,-0.9,-4.7,-7.9,-21.7,1.4,-12.4,-14.1,-7.4,-2.7,-7,11.3,-8.4
2017/02,9.5,-32.2,5.5,3.9,21.5,10.3,2.5,4.3,5.6,10.1,26.1,-0.2,2,-2.8,9.9
2017/03,-0.1,8.4,9,1.2,-1.3,-3,9,-5.7,17.6,27.5,-8.1,-15.6,1.6,-7.8,6
2017/04,-2.3,5.6,5.9,-1.6,2.5,1.4,-7.9,3,7.7,-24,-11.7,6,3.2,12.9,-7.6
2017/05,2.8,5.5,1.6,-1.5,14.3,-5.1,-4,-2.7,10.1,-6.6,3.7,19.1,6.7,-8,8
2017/06,-0.4,-7.1,-7.8,-2.7,-8.6,4.9,9.7,6.9,-8.9,0.2,3.1,-12.3,-4.2,8.6,3.5
2017/07,-0.9,-4,-7.3,0.5,27.7,-0.3,-5.1,1.2,-8.1,7.4,5.7,9.2,5.3,16.1,-4.4
2017/08,-3.6,7.6,-11.7,1.7,-19.1,2,-4.1,-6.7,3,-5.1,3.7,37.3,2.2,-15.8,0.1
2017/09,11.1,26.9,21.9,3.8,-5.2,3.8,14.9,8,0.5,11.4,-3.8,-30,-5,9.5,2.4
2017/10,-11.4,-6,-1.4,-3.2,-1.5,-13.2,-23,-16.4,10.8,-19.4,-13.2,13.9,-0.9,-10.9,-6.8
2017/11,18.5,-12.5,13.6,8.8,7.5,13.9,31.1,13.5,-1.6,11.2,8,-11.4,-2.7,5.5,9
2017/12,-3.5,3.9,-9,1.9,-9.5,2.8,-4.6,3.6,-14.9,14.2,3.5,14.2,9.2,-4.3,0.7
2018/01,4.5,-5.9,-16.7,-4,7.4,2,-16,8.1,-11.6,-11.5,2,-1.7,-6.5,26,-1.5
2018/02,-1.1,34.9,2.9,4.5,0.6,-4.3,4.5,-7.8,-2.4,2.4,6.2,-12.4,-4.1,-16.6,1
2018/03,2.8,-29.7,13.3,-2.6,11.3,2.3,22.9,-1.3,22.2,33.4,2.4,-7,6.2,-0.2,5.6
2018/04,0.4,6.2,3.9,-0.4,1.6,-3,-5.3,4.5,10.1,-25.3,-15,4.1,5.9,6.9,-3.5
2018/05,0.4,6,1.6,1.4,2.6,0.3,-0.6,-0.6,7,-0.9,9.4,16.9,4.7,-6.5,1.6
2018/06,-2.2,-5.1,-5.3,1.7,-2.7,1.1,-0.6,2.1,-5.9,-2.1,1.1,-8.6,-3,3.6,0.8
2018/07,5.8,-4.4,-7.1,2.7,24.6,0.3,-2.6,1.3,-7,6.5,3.6,9.6,3.9,19.1,1.4
2018/08,-5.7,5.2,-13.6,0.6,-23,0.2,-2.3,-5.1,-2.4,-3.1,6,30.1,1.5,-19.1,-0.7
2018/09,3.7,52.4,18.7,-0.3,-11.2,-3.7,-6.4,-6.8,6.1,4.4,-9.1,-29.6,-5.9,9.4,-5.1
2018/10,8.6,-32.1,13.3,0.6,7.7,4.6,12.9,6.4,11.4,-8.4,-3.7,6.2,0.4,5.4,9.7
2018/11,6.1,4.7,-1.4,1.2,2.3,4.7,3.7,0.5,-5.3,5.3,3.4,-5.4,-1.8,-3.5,0.2
2018/12,-0.3,1.7,-5.2,-7,-8.1,1.6,-3.3,1.5,-11.5,12.2,-0.3,16.1,9.1,-5.2,0.6
2019/01,3.7,9.8,-12.9,-7,9.5,5.4,-13.1,8.5,-10,-4.1,8.4,-1.4,-6.5,28.3,1.3
2019/02,-2.8,2.8,-2.1,-2.1,2,-6.6,-1.3,-7,3.7,-1.1,4.5,-7,-3.4,-21.2,2.5
2019/03,4.8,-18.4,12,2.9,11,2.7,18.9,-4.3,15.7,29.1,0.9,-10.5,5,-3.2,2.9
2019/04,0.1,2.5,-0.1,2.5,-8.4,-0.2,-1.2,8.7,5.2,-24.1,-14.6,4.8,0.4,13.1,0.3
2019/05,0.9,5.6,6.1,4.9,9,1.4,-2.6,-1.6,8,-2.7,10.7,6.2,5.6,-4.7,-0.3
2019/06,-3.7,-3.7,-7.6,-1.7,-11,-1.2,-5.9,-2.6,-3.4,-1.2,0.1,-0.3,-1.2,4,-0.2
2019/07,4.1,-7.3,-9,-3.9,3.3,0.2,-0.4,7.5,-6.6,4.3,2.2,6.4,-0.2,22.2,4.2
2019/08,-3.5,10.7,-7.9,7.1,-2.2,1.7,-1.6,-8.3,-1.4,-1.6,8.6,28.8,4.2,-19.9,-3.2
2019/09,4.1,30.8,8.8,-5.8,-9.1,-8.2,-3.8,-8,-2.5,0.9,-12.7,-32,-10.3,11.5,0.7
2019/10,4.1,-21.6,13.7,3.6,0.8,11.3,11.4,9.2,13.9,-6.5,-1.9,13.8,6.4,3,3.7
2019/11,8.9,5.7,2.3,4.8,8,2.3,9.6,4.7,-2.1,5.5,5,-8.2,-1.5,-3.4,1.5
2019/12,0.3,-0.2,-5.7,-0.4,-7,-1.1,4.5,3,-12.1,8.6,-2.4,17.5,8.4,-1.6,2
2020/01,-2.7,29.8,-15.9,-2.6,2.7,1.4,-28,-5.7,-13.2,-6.2,1.7,-7.3,-11.4,20.1,-2.8
2020/02,6.9,-31.5,-10.5,-5.3,6.5,-0.6,-4.4,-50.8,-14.7,-4.7,-0.8,-29.8,-12.5,-16.8,5
2020/03,0.5,6.7,-13.8,-9.7,-1.8,-16.1,45.6,-55.7,-5.4,-11,-42.8,-40.3,-13.4,-10.4,4.1
2020/04,-1.1,5.4,19.5,-6.2,2.7,11.2,13.3,57.6,26.5,6.9,26.9,7.8,14.6,9.4,-0.3
2020/05,1.2,12.3,31.4,-6.3,18.5,2,3.4,26.1,29.4,7.2,19.1,50,18.9,-6.5,-1.9
2020/06,5,-15.9,-10.1,6.1,3.9,2.4,11.7,11.6,-7.5,-5.4,-1.1,10.7,-5.7,7.1,5.4
2020/07,-2.4,-0.8,-14.4,0.8,-15.6,1.8,-16.6,9.6,-8.2,-2.1,6.5,11.3,1.2,28.9,0
2020/08,1.4,7,-13,1.9,16,-6.4,-18.4,-11.8,-7.9,-2.9,4.3,35.4,-0.7,-17.3,-5.4
2020/09,9.4,38.5,9.9,-0.1,-14.3,7.2,29.1,-11.7,-8.1,2.7,-15,-46.9,-17.1,12.8,4.9
2020/10,-5.6,-22.3,17.9,-2.2,-8.7,-8.8,-8.5,18,35.5,-8.2,4,32.9,13.3,-4.3,-1.6
2020/11,9.7,1.3,-0.9,4.2,14.9,5.4,9.2,8,-6.5,2.8,5.3,2.5,0,-4.8,2.3
2020/12,3.6,1.5,-16.4,1.3,-13.9,3.6,-3.4,-31,-43,8.5,-17.4,-25.2,-29.6,3.4,3.9
2021/01,-2.9,0.1,-10.2,1.6,13.5,0.2,-12.8,4,-15.5,-1.1,15.2,-15.1,0.3,6.3,-6.2
2021/02,1.2,21.4,10.6,7,-2.6,0,-5.8,17.5,53.2,0.6,15.5,37.6,15.6,3.8,4.6
2021/03,2.4,-24.8,17,3.5,2.8,2.5,21.1,12.8,33.7,21.1,-2.6,4.9,14.4,-11.1,5.9
2021/04,-0.5,6.3,2.2,2.1,-7.2,3.1,2.4,7.4,7.4,-16.9,-6.8,3,3.2,7.4,-2.8
2021/05,2.9,8.2,1.1,-2.4,9,-6.4,-6.9,-0.4,5.6,1.1,7.9,14.9,7.4,-4,-3.2
2021/06,-0.4,-8.1,-0.6,4.2,-1.8,8.6,6.6,9.4,0.9,-4.7,0.8,5.7,-2.6,6.1,6.5
2021/07,1.8,-2.3,-10.6,4,10.5,-0.3,-4.7,-15.4,-11.8,5.5,3.9,-1.7,-6.8,19.6,-1.5
2021/08,-1.3,8.1,-11.1,-2.6,-8.8,-5.1,-15.4,-5.6,-5.3,-5.3,5.4,16.5,-1.5,-19.8,-4
2021/09,3.1,42,23,-0.5,-11.5,-2,-5.8,10.8,11.8,8.3,-8.1,-23.3,1.8,15.4,3
2021/10,3.1,-25.2,16.1,7.9,6.7,10,14.9,15.5,15,-4.1,1.1,17,13.7,-9.8,-0.8
2021/11,7.4,3,-2.7,6.1,2.9,-0.6,7.3,14.3,-2.6,-2.2,-2,7.6,5.3,-1.1,4.2
2021/12,-1.6,-0.6,-8.1,-3.3,-14.3,2.1,1.3,-22.2,-23.5,14.7,0.7,-3.4,-11.5,5.2,1.9
2022/01,-0.3,28.4,-9.7,-1.9,11.3,2.2,-22.4,3.5,-12.7,-5.1,3.2,-4,-6.1,19.6,-7
2022/02,0.1,-31.2,-10.1,-1.1,2.4,-3.4,10.5,-6.9,2,-7.4,1.6,2.8,-8.6,-15.8,5.1
2022/03,2.3,0.6,11.6,8.7,-5.9,4.7,1.3,13.9,26.3,26.7,0,-17.6,9.7,-2.3,6.6
2022/04,-0.1,10.1,18.1,9.5,0.3,-0.1,12.1,34.2,25.3,-16.8,-5.6,15.3,23.7,4.2,-3.9
