소비유형코드,전자상거래/통신판매,식료품,의류/잡화,연료,가구/가전,의료/보건,자동차,여행/교통,  스포츠/오락/여가,  서적/문구,교육,  숙박,  음식점,공과금/개인 및 전문 서비스,금융/보험
2013/09,4.6,30.9,20.1,-9.3,-21.9,-11.2,-14.1,-9.5,2.8,1.4,-15.6,-32,-12.3,-1.5,1
2013/10,8.3,-24.4,17.7,3,10.7,14.7,22,6.7,18.1,-1.2,4,12.3,7.7,7.5,9.4
2013/11,2.7,-2.6,2.1,-0.3,10.7,-4.2,-5.7,-4.8,-2.4,1.4,-0.2,-8.3,-5.9,-12.3,-7.8
2013/12,5,3.6,-0.7,1.1,-7.9,3.4,7.6,11.2,-8.4,16.8,3.9,19.9,16.4,3.6,8
2014/01,-10,30.2,-17.5,-4.3,-10.4,6.8,-6,-0.2,-17.6,-10.4,2.3,-7.2,-12.8,18.5,-8.3
2014/02,-5.7,-36.7,-8.6,-12.1,-3.6,-9.6,-12.6,-9.1,-12.8,-8.1,0.4,-15,-11.8,-18.6,0
2014/03,8.9,20.1,20.7,12.8,26.7,4.4,17.7,6,32.9,45.9,3.2,-2.5,20.6,0.9,7.5
2014/04,-2.4,-2.5,-0.3,-4.5,-13,-3.4,5.1,5,0.8,-28.6,-14.9,1.2,-5,4.3,-1.7
2014/05,-1.1,12.3,7,4.1,13.3,0.7,-1,-2.2,10.1,-2.1,11.3,12,10.4,-4.6,-2.2
2014/06,3,-7.6,-12.5,-4.5,5.7,-4.8,-1.4,-1.6,-8.8,-9.1,-5.8,-3.2,-3.1,1,0.2
2014/07,7.5,1.2,-2.5,5.4,7.8,13.8,17.5,30.6,-2.8,19.2,17.7,10.8,5.3,23.5,11.2
2014/08,-7.9,14.8,-11.3,1.8,-13.3,-1.8,-14.7,-8.7,1.2,-6.8,2.7,26.2,4,-19.9,-9.4
2014/09,4,12.9,11.3,-7.8,-7.8,-10,-0.8,-10.2,-1.4,2,-14.9,-29.4,-12.9,8.2,3.1
2014/10,6.3,-15.5,19.2,2.5,3.2,10.1,11.3,6.7,14.2,-3.5,-1.1,8.5,8.9,4.6,3.7
2014/11,0.2,-4.2,-1.1,-3.8,12.3,-3.4,4.9,-6.4,-4.2,3.7,-0.9,-12.6,-5.5,-12.6,-8.4
2014/12,13.5,2.4,0,-0.5,-8.7,2.3,21.3,13.4,-7.8,14.2,9,29.3,11.8,4.6,14.5
2015/01,-10.1,0.9,-18.2,-12.2,-7.5,10.4,-25,2,-12.7,-7.5,4.3,-4.7,-6.1,23.6,-7.4
2015/02,-10.1,22.3,-6.7,-11.4,-5.8,-15.7,-12.3,-16.7,-14.6,-11.7,-6.2,-18.9,-14.3,-24.4,-7.8
2015/03,13.6,-22.3,25.2,19.6,26.7,14,18.2,11.4,34.6,51.5,8.9,3.7,17.3,6.4,19
2015/04,-2.1,2.1,-0.9,-7.8,-14.6,-2.1,3.4,9.2,2.3,-26.3,-15.5,-2.9,-1.9,6.4,-2.6
2015/05,-4.2,15.3,11.8,8,11.8,-0.9,-7.9,-3.3,16.9,-4.6,11.7,17.5,13.6,-2.4,-4.4
2015/06,8.6,-9.7,-19,-6.9,0.8,-12.9,-0.7,-11.8,-17.8,-9,-7.7,-19.2,-12.6,4.8,7.6
2015/07,4.3,-0.5,0.1,6.3,24.2,16.6,11.4,30.3,3.8,19,17.5,19.5,10.5,21.9,5
2015/08,-9,6.1,-10.1,2.9,-4.3,0.7,-11.9,-12.6,1.6,-8,2.5,32.4,6.3,-21.9,-10
2015/09,2.2,33.8,11.5,-8,-16.1,-4.2,15.3,-1.6,-4.9,1.6,-15.6,-33.2,-13.9,10.1,-0.1
2015/10,12.2,-28.9,17.3,0.7,13.7,11.1,6.9,6.9,19.9,-2.2,8.2,17.4,5.3,10,13.5
2015/11,0.7,-1.7,-1.7,-2.4,2.5,-7.5,-5.3,-6.1,-8.4,-6.1,-8.1,-8.6,-1.2,-14.5,-6.8
2015/12,5.4,6,-0.5,3.1,-5.3,10.2,28.3,12.9,-7.1,28.1,13.1,19.5,10.5,9.9,10.3
2016/01,-2.1,4.5,-15.5,-4.1,-8.4,4,-35.5,-1.6,-15.3,-11.1,3.9,-3.6,-6.7,16.9,-8.6
2016/02,-8.8,9,-8.9,-9.9,-0.6,-11.9,-1.2,-11.5,-8.1,-7.6,-4.3,-18.7,-11.5,-24.7,-5.2
2016/03,14.7,-18.1,21.1,7.6,16.3,12.6,36.8,8.1,29.2,45.6,7.1,1.4,12.4,11.7,18.8
2016/04,-5,2.2,3.1,-3.7,-10.3,-4.5,-5.4,2.3,6.2,-28.4,-14.3,-1.6,0.5,5,-8.6
2016/05,9.9,8.8,8.2,7.4,1.3,-2.7,0.4,4.4,11.8,-3.1,7.9,15.6,11.8,3.3,4
2016/06,-1.7,-7.6,-9.9,0.4,0.1,0.8,11.6,3.4,-11.1,-3.4,-0.9,-4.1,-6.1,2.8,0.9
2016/07,7.1,-1.2,-6.5,4.6,21.3,6.1,-13,6.6,-2.5,14.5,11.8,6.1,5.7,23.1,2.2
2016/08,-1.6,2.8,-12.2,2.1,-3,-3.5,-16.7,-5.9,1.5,-8.5,2.2,39.8,4.6,-17.1,-1.3
2016/09,-1.4,28,8.4,-9,-22.1,-5.3,7,-10.1,-5.4,0.9,-10.3,-33.1,-14.5,8,-2.3
2016/10,6,-12.5,15.8,4.6,5.9,8,8.9,4.4,19.5,-2.4,-1.4,5,9.9,4.6,2.2
