충북_합계,충북_종합소매,충북_ 백화점,충북_ 대형마트/유통전문점,충북_ 슈퍼마켓,충북_ 편의점,충북_ 면세점,충북_전자상거래/통신판매,충북_식료품,충북_ 일반식료품,충북_ 건강보조식품,충북_의류/잡화,충북_ 의복/직물,충북_ 복식잡화,충북_ 시계/귀금속/안경,충북_ 화장품,충북_연료,충북_가구/가전,충북_ 가구,충북_ 가전제품/정보통신기기,충북_의료/보건,충북_ 종합병원,충북_ 일반병의원/기타의료기관,충북_자동차,충북_ 국산자동차신품,충북_ 기타운송수단,충북_ 자동차 부품 및 정비,충북_여행/교통,충북_ 여행사/자동차임대,충북_ 항공사,충북_ 대중교통,충북_오락/문화,충북_ 스포츠/오락/여가,충북_ 서적/문구,충북_교육,충북_숙박/음식,충북_ 숙박,충북_ 음식점,충북_공과금/개인 및 전문 서비스,충북_금융/보험,충북_기타,충남_합계,충남_종합소매,충남_ 백화점,충남_ 대형마트/유통전문점,충남_ 슈퍼마켓,충남_ 편의점,충남_ 면세점,충남_전자상거래/통신판매,충남_식료품,충남_ 일반식료품,충남_ 건강보조식품,충남_의류/잡화,충남_ 의복/직물,충남_ 복식잡화,충남_ 시계/귀금속/안경,충남_ 화장품,충남_연료,충남_가구/가전,충남_ 가구,충남_ 가전제품/정보통신기기,충남_의료/보건,충남_ 종합병원,충남_ 일반병의원/기타의료기관,충남_자동차,충남_ 국산자동차신품,충남_ 기타운송수단,충남_ 자동차 부품 및 정비,충남_여행/교통,충남_ 여행사/자동차임대,충남_ 항공사,충남_ 대중교통,충남_오락/문화,충남_ 스포츠/오락/여가,충남_ 서적/문구,충남_교육,충남_숙박/음식,충남_ 숙박,충남_ 음식점,충남_공과금/개인 및 전문 서비스,충남_금융/보험,충남_기타
5473.35,1136.45,126.71,651.95,305.67,51.93,0.19,8.25,196.86,171.94,24.92,295.27,195.4,25.56,29.49,44.82,1286.52,151.67,20.85,130.82,382.78,76.69,306.09,167.32,0.44,9.98,156.9,5.7,2.76,0.0,2.94,392.77,353.75,39.02,132.43,801.66,38.1,763.57,205.35,0.67,309.67,8023.39,1756.13,125.67,1069.36,465.52,95.58,0.0,23.1,426.29,361.96,64.33,418.89,247.45,21.21,39.29,110.95,1816.01,208.87,25.49,183.38,485.75,104.36,381.39,245.66,0.22,12.3,233.14,4.03,2.35,0.15,1.53,380.18,332.14,48.03,258.92,1241.46,74.17,1167.28,155.81,0.44,601.87
5599.27,950.55,135.04,507.77,255.85,51.46,0.43,8.45,146.26,126.08,20.19,335.1,229.2,26.31,29.96,49.62,1335.82,176.92,22.99,153.92,437.68,87.34,350.34,194.68,1.13,10.23,183.32,8.11,2.36,0.0,5.75,464.06,429.66,34.4,139.31,843.6,42.32,801.28,232.19,0.48,326.07,8263.99,1587.45,170.71,908.69,410.5,97.56,0.0,22.92,328.04,290.71,37.32,481.2,295.49,24.43,41.6,119.68,1890.79,224.85,27.93,196.91,562.73,121.53,441.19,280.25,0.27,14.32,265.65,5.27,2.8,0.19,2.28,438.86,400.2,38.66,287.51,1334.19,78.76,1255.42,171.98,0.67,647.29
5588.06,986.33,164.46,520.8,253.75,47.15,0.16,8.22,143.01,125.36,17.64,352.8,253.12,25.87,26.5,47.31,1345.43,207.02,17.9,189.11,413.67,84.33,329.34,213.71,0.61,7.05,206.05,5.59,1.62,0.0,3.97,446.33,412.82,33.51,137.9,792.05,39.76,752.29,216.44,0.62,318.95,8121.94,1505.7,129.07,888.5,398.95,89.18,0.01,22.07,289.13,255.59,33.54,504.62,326.62,24.41,37.16,116.42,1888.17,294.61,23.58,271.03,527.88,119.52,408.36,308.42,0.18,9.09,299.14,4.24,2.35,0.13,1.77,438.43,398.63,39.8,289.45,1236.32,72.66,1163.67,162.48,0.52,649.9
5605.3,1051.78,168.55,575.33,260.23,47.42,0.25,9.01,144.29,127.85,16.45,351.35,239.62,30.83,29.21,51.69,1328.35,152.92,18.2,134.72,428.63,90.54,338.09,205.87,0.44,6.67,198.76,4.05,2.41,0.0,1.64,348.67,306.69,41.98,139.74,898.76,39.56,859.2,222.73,0.54,318.59,8270.01,1646.12,149.03,994.27,412.6,90.21,0.01,25.82,266.32,236.61,29.71,493.3,306.04,25.36,40.28,121.63,1855.84,236.87,24.5,212.37,543.84,119.68,424.16,302.32,0.23,9.97,292.12,3.07,1.95,0.17,0.95,388.2,341.17,47.03,307.5,1381.9,86.97,1294.93,174.48,0.45,643.97
5214.65,1000.24,115.79,556.15,286.14,41.5,0.66,9.26,183.33,159.21,24.12,300.66,202.07,20.85,29.96,47.79,1255.96,134.25,17.48,116.78,454.21,90.84,363.38,159.47,0.9,5.53,153.04,3.58,2.3,0.0,1.28,263.35,226.49,36.86,148.34,785.04,38.98,746.06,215.79,0.66,300.48,7711.89,1546.71,94.78,944.23,430.67,77.02,0.0,21.76,360.87,302.42,58.45,423.03,241.53,17.65,40.76,123.1,1767.17,198.34,23.22,175.12,565.67,120.58,445.09,246.86,0.24,9.6,237.02,2.65,1.83,0.1,0.73,311.07,270.31,40.76,274.45,1234.97,83.64,1151.33,171.71,0.39,586.22
4662.31,853.69,119.53,469.12,222.63,40.25,2.17,48.56,114.99,100.16,14.83,250.22,159.01,19.26,28.91,43.04,1119.67,134.76,18.38,116.38,420.05,88.45,331.59,143.45,7.69,7.46,128.29,8.11,3.17,1.95,3.0,241.73,208.93,32.8,143.21,695.88,34.09,661.79,217.71,13.02,257.27,6890.87,1339.02,99.33,817.99,345.35,73.96,2.39,70.8,215.17,194.79,20.38,370.49,205.61,16.37,38.61,109.9,1575.3,173.76,24.39,149.37,539.68,121.8,417.88,216.56,11.13,10.55,194.88,9.18,2.82,2.25,4.1,278.38,240.31,38.07,288.91,1084.56,66.56,1018.0,171.22,18.07,539.77
5436.21,957.31,129.12,521.18,259.17,47.67,0.17,9.08,136.85,117.95,18.9,307.71,196.14,27.32,34.97,49.28,1272.41,181.85,25.48,156.37,433.87,87.12,346.75,176.28,0.85,10.82,164.61,3.65,1.71,0.0,1.94,410.2,339.43,70.77,153.51,846.05,35.49,810.56,222.84,0.69,323.9,8052.99,1530.86,107.11,915.87,419.4,88.48,0.0,23.7,273.21,243.2,30.01,455.17,252.51,23.25,48.59,130.82,1797.85,254.29,33.43,220.86,560.56,122.4,438.16,255.38,0.27,14.31,240.8,5.3,3.0,0.12,2.18,422.67,346.33,76.34,299.2,1359.84,74.98,1284.86,187.99,1.39,625.6
5263.89,908.2,113.35,484.66,260.36,49.45,0.39,9.54,133.2,115.35,17.85,311.35,204.91,25.83,32.61,48.0,1220.24,160.88,22.61,138.27,415.77,86.74,329.03,183.2,2.58,12.31,168.31,5.45,2.49,0.0,2.96,383.11,346.42,36.69,138.72,817.04,35.19,781.85,215.95,0.61,360.63,7737.06,1467.36,93.87,864.91,418.07,90.51,0.0,21.48,274.18,243.85,30.33,444.5,248.71,22.87,45.57,127.35,1724.39,211.0,27.07,183.93,529.79,117.97,411.82,264.72,1.55,16.28,246.89,4.07,2.24,0.11,1.72,392.11,350.28,41.84,264.29,1292.09,67.56,1224.53,180.73,1.25,665.09
5664.25,1009.27,116.59,548.2,290.74,53.29,0.45,8.94,156.5,134.74,21.76,337.37,219.91,28.95,34.91,53.6,1261.12,192.27,23.43,168.84,419.26,86.21,333.05,187.89,0.98,13.83,173.08,5.88,2.35,0.0,3.53,421.53,384.55,36.97,145.3,922.35,41.0,881.35,217.4,0.56,378.6,8386.51,1643.8,102.73,973.0,469.96,98.09,0.03,22.83,311.97,275.79,36.18,495.59,282.44,24.98,49.27,138.91,1781.13,262.51,29.11,233.4,537.24,117.85,419.39,279.04,0.57,16.94,261.53,4.17,2.18,0.23,1.75,434.41,393.94,40.46,275.84,1448.52,82.71,1365.81,190.4,1.09,697.98
5450.12,1015.41,96.32,561.86,300.37,56.52,0.34,9.07,145.18,128.48,16.7,285.94,175.84,28.02,34.77,47.31,1199.3,203.18,22.3,180.88,402.07,84.85,317.22,180.83,1.51,11.75,167.56,5.21,2.18,0.0,3.03,394.44,362.52,31.92,139.95,885.67,38.78,846.89,221.76,0.72,361.4,8044.73,1646.13,91.18,972.37,478.15,104.42,0.0,21.16,279.51,239.96,39.55,423.72,222.33,24.8,49.19,127.4,1696.53,283.25,27.42,255.84,517.69,113.93,403.76,267.81,0.14,16.19,251.48,3.79,1.88,0.17,1.73,391.96,355.16,36.8,267.14,1397.85,86.38,1311.47,181.47,0.7,666.01
