날짜,대전_합계,대전_종합소매,대전_ 백화점,대전_ 대형마트/유통전문점,대전_ 슈퍼마켓,대전_ 편의점,대전_ 면세점,대전_전자상거래/통신판매,대전_식료품,대전_ 일반식료품,대전_ 건강보조식품,대전_의류/잡화,대전_ 의복/직물,대전_ 복식잡화,대전_ 시계/귀금속/안경,대전_ 화장품,대전_연료,대전_가구/가전,대전_ 가구,대전_ 가전제품/정보통신기기,대전_의료/보건,대전_ 종합병원,대전_ 일반병의원/기타의료기관,대전_자동차,대전_ 국산자동차신품,대전_ 기타운송수단,대전_ 자동차 부품 및 정비,대전_여행/교통,대전_ 여행사/자동차임대,대전_ 항공사,대전_ 대중교통,대전_오락/문화,대전_ 스포츠/오락/여가,대전_ 서적/문구,대전_교육,대전_숙박/음식,대전_ 숙박,대전_ 음식점,대전_공과금/개인 및 전문 서비스,대전_금융/보험,대전_기타
2020/05,8750.6,1739.98,298.46,758.68,487.01,195.74,0.09,82.1,348.86,316.52,32.33,380.25,210.78,29.04,79.19,61.24,619.7,302.28,66.17,236.11,1194.51,178.95,1015.56,262.6,3.68,46.61,212.31,670.68,4.41,0.02,666.25,286.02,229.07,56.95,262.8,1446.95,31.02,1415.92,308.92,7.75,837.19
2020/06,7680.43,1568.86,296.02,668.86,408.68,195.2,0.1,85.25,261.5,233.01,28.49,288.74,150.62,23.69,63.55,50.87,570.05,266.78,45.83,220.95,1079.86,171.45,908.4,237.47,0.92,42.24,194.32,683.52,3.96,0.02,679.54,216.22,171.15,45.07,197.38,1140.23,28.69,1111.54,266.31,7.04,811.23
2020/07,7282.84,1502.3,336.15,614.33,369.04,182.78,0.0,54.48,252.35,224.26,28.09,227.38,100.4,19.98,56.32,50.68,553.34,214.3,37.76,176.55,1042.26,177.15,865.11,221.45,0.64,35.72,185.1,826.76,3.87,0.0,822.9,189.33,151.75,37.57,182.22,1028.8,25.03,1003.77,241.57,4.32,741.97
2020/08,7659.37,1711.63,380.88,728.94,410.72,191.1,0.0,60.52,272.69,244.37,28.32,217.76,94.38,19.93,54.68,48.76,593.56,293.86,49.99,243.87,1066.98,174.36,892.62,234.67,0.78,34.29,199.6,636.22,3.39,0.0,632.83,198.63,156.08,42.55,255.57,1166.22,26.55,1139.67,247.72,3.79,699.54
2020/09,7700.8,1743.89,382.18,727.62,439.51,194.58,0.0,55.21,388.86,347.34,41.52,239.86,112.49,19.83,52.58,54.96,582.66,245.88,55.02,190.86,1138.39,176.37,962.01,249.43,1.33,44.93,203.17,588.14,4.52,0.0,583.62,186.14,139.67,46.46,248.14,1022.44,23.23,999.21,252.95,3.54,755.28
2020/10,7787.8,1842.73,526.39,718.77,405.8,191.76,0.0,56.71,305.61,277.76,27.85,287.35,161.84,21.79,52.65,51.06,579.71,225.08,51.71,173.37,1041.66,176.81,864.85,225.08,0.94,33.28,190.87,698.76,4.0,0.0,694.76,233.54,194.58,38.95,225.67,1135.73,27.39,1108.34,251.2,4.18,674.8
2020/11,7617.0,1777.58,509.49,713.18,373.72,181.19,0.0,59.3,291.34,267.01,24.33,263.63,146.95,21.66,48.77,46.25,577.05,267.49,38.36,229.13,1021.98,173.25,848.73,224.12,0.62,35.89,187.62,718.08,3.39,0.0,714.69,202.81,168.99,33.82,191.06,1096.56,33.62,1062.94,247.85,4.45,673.69
2020/12,7054.32,1645.08,375.07,682.41,405.7,181.9,0.0,57.94,312.6,286.61,25.99,245.34,118.58,21.42,53.4,51.93,613.38,204.17,41.14,163.03,1077.8,179.6,898.2,244.51,1.87,33.06,209.58,455.13,4.06,0.0,451.07,165.96,121.82,44.14,196.6,873.51,27.13,846.38,256.28,5.19,700.82
2021/01,7083.59,1624.52,363.66,681.91,404.74,174.21,0.0,60.06,303.05,277.74,25.32,225.84,106.02,17.75,57.2,44.87,612.15,223.05,36.11,186.95,1065.23,188.21,877.02,222.23,0.6,36.37,185.26,630.59,4.08,0.0,626.52,145.92,106.9,39.03,206.03,808.83,21.69,787.14,271.44,3.98,680.64
2021/02,6678.71,1566.27,390.61,664.54,356.21,154.9,0.0,49.18,324.69,293.15,31.55,200.96,92.59,15.73,50.57,42.07,615.34,189.84,31.95,157.89,940.53,163.64,776.89,186.16,1.09,35.09,149.98,494.59,2.85,0.0,491.74,161.77,126.9,34.87,220.02,807.79,20.86,786.93,250.53,4.08,666.95
2021/03,7932.76,1758.34,498.72,700.19,374.2,185.22,0.0,59.11,281.03,254.85,26.17,276.49,137.0,22.3,66.57,50.62,698.89,218.84,44.88,173.97,1110.05,192.66,917.38,240.1,0.83,50.79,188.47,703.91,3.58,0.0,700.33,247.24,192.78,54.46,238.09,1077.88,29.41,1048.47,306.74,4.7,711.36
2021/04,7644.1,1636.01,424.48,649.78,375.98,185.77,0.0,48.62,277.26,253.47,23.78,266.55,132.53,21.09,64.71,48.22,669.13,214.46,41.81,172.65,1101.58,190.96,910.62,249.38,2.59,52.11,194.68,725.31,3.77,0.0,721.54,205.07,165.95,39.11,204.48,971.88,26.03,945.85,281.41,4.3,788.67
2021/05,7870.24,1782.31,490.09,719.39,382.47,190.36,0.0,54.76,293.77,264.42,29.35,271.03,132.38,22.33,66.13,50.2,644.78,218.07,39.25,178.82,1021.08,174.74,846.35,230.72,1.41,46.31,183.01,778.33,3.73,0.0,774.6,224.84,184.59,40.25,199.09,1081.5,29.94,1051.56,265.79,4.13,800.03
2021/06,7614.83,1613.1,407.57,638.8,369.6,197.12,0.0,54.13,268.27,240.85,27.43,260.1,125.33,22.11,63.62,49.04,633.9,190.71,34.82,155.89,1081.43,190.22,891.2,257.63,1.71,55.31,200.61,787.73,4.18,0.0,783.56,209.21,173.27,35.93,201.5,1024.76,27.7,997.06,269.45,3.86,759.05
2021/07,7597.37,1611.66,362.36,663.39,381.11,204.8,0.0,43.34,275.24,245.72,29.52,247.13,109.83,21.44,65.82,50.04,671.18,227.11,35.62,191.49,1141.09,203.06,938.03,262.71,0.99,44.47,217.24,610.64,4.48,0.0,606.16,195.09,156.13,38.96,228.68,982.93,25.44,957.5,268.62,4.82,827.12
2021/08,7511.55,1911.22,640.72,680.22,386.45,203.84,0.0,48.3,288.3,257.42,30.88,210.87,81.74,18.48,65.36,45.28,639.45,211.5,37.2,174.3,1076.05,184.99,891.06,240.9,0.77,50.23,189.9,623.62,4.02,0.0,619.59,166.93,129.4,37.53,268.01,862.77,23.47,839.3,250.08,4.91,708.66
2021/09,8119.55,2223.05,944.3,680.75,395.82,202.18,0.0,49.55,413.23,366.07,47.16,261.58,125.42,21.26,66.54,48.36,625.96,176.44,37.21,139.24,1009.5,168.93,840.57,225.94,2.7,42.37,180.88,719.91,4.17,0.0,715.74,202.09,158.9,43.19,221.76,936.8,25.58,911.22,252.25,3.85,797.65
2021/10,8654.52,2157.99,915.39,665.73,371.0,205.86,0.0,53.77,308.11,275.53,32.58,309.05,159.42,25.23,70.14,54.27,681.99,219.6,44.93,174.66,1159.27,190.53,968.75,258.91,0.77,43.8,214.34,834.55,4.41,0.0,830.13,222.0,181.71,40.3,223.17,1112.42,40.83,1071.59,283.5,4.96,825.22
2021/11,8321.27,2114.36,902.33,675.97,343.28,192.79,0.0,64.69,296.98,264.75,32.23,269.68,146.93,21.38,54.16,47.21,682.05,262.8,35.98,226.83,996.16,165.25,830.92,235.83,2.38,37.56,195.89,921.24,5.41,0.0,915.83,201.26,167.8,33.45,173.06,1060.59,41.41,1019.18,256.73,4.59,781.24
2021/12,8501.49,2102.36,865.95,662.87,373.11,200.43,0.0,56.76,332.54,302.77,29.77,275.27,135.19,22.78,64.34,52.96,737.77,208.5,38.49,170.01,1130.61,188.11,942.51,248.25,0.91,32.07,215.27,766.05,4.62,0.0,761.43,202.31,152.54,49.77,199.64,1086.8,38.51,1048.3,286.88,5.67,862.08
2022/01,8517.7,2138.71,828.11,710.62,406.54,193.44,0.0,59.24,412.27,378.09,34.18,264.27,126.77,20.79,64.25,52.46,715.27,200.85,42.68,158.17,1184.34,189.47,994.87,232.98,0.7,41.64,190.64,801.86,4.21,0.0,797.65,179.33,139.15,40.18,223.37,966.51,30.07,936.43,305.04,4.42,829.23
2022/02,6977.88,1754.62,691.47,571.79,318.81,172.54,0.0,45.65,249.21,229.23,19.98,200.46,88.48,16.69,54.82,40.47,642.65,192.02,31.74,160.28,1032.02,153.62,878.4,191.18,2.99,40.56,147.63,540.61,3.7,0.0,536.91,160.74,125.92,34.82,229.97,774.95,27.09,747.86,256.1,4.3,703.41
2022/03,8332.82,2017.35,786.25,653.77,366.96,210.37,0.0,61.55,274.79,252.98,21.81,256.0,121.92,21.34,63.42,49.33,793.15,234.92,33.94,200.98,1166.68,167.47,999.22,231.49,1.22,51.5,178.78,664.97,3.72,0.0,661.24,224.88,170.12,54.76,231.76,966.53,33.38,933.15,316.44,5.24,887.06
2022/04,8740.33,2017.1,813.66,644.99,353.22,205.22,0.0,64.11,285.38,264.59,20.79,293.83,150.81,24.12,66.77,52.13,781.06,183.42,34.03,149.39,1163.14,178.27,984.87,249.74,3.28,49.85,196.61,926.15,5.2,0.0,920.95,237.27,197.09,40.18,198.75,1123.19,33.94,1089.25,310.25,4.56,902.38
