부산_합계,부산_종합소매,부산_ 백화점,부산_ 대형마트/유통전문점,부산_ 슈퍼마켓,부산_ 편의점,부산_ 면세점,부산_전자상거래/통신판매,부산_식료품,부산_ 일반식료품,부산_ 건강보조식품,부산_의류/잡화,부산_ 의복/직물,부산_ 복식잡화,부산_ 시계/귀금속/안경,부산_ 화장품,부산_연료,부산_가구/가전,부산_ 가구,부산_ 가전제품/정보통신기기,부산_의료/보건,부산_ 종합병원,부산_ 일반병의원/기타의료기관,부산_자동차,부산_ 국산자동차신품,부산_ 기타운송수단,부산_ 자동차 부품 및 정비,부산_여행/교통,부산_ 여행사/자동차임대,부산_ 항공사,부산_ 대중교통,부산_오락/문화,부산_ 스포츠/오락/여가,부산_ 서적/문구,부산_교육,부산_숙박/음식,부산_ 숙박,부산_ 음식점,부산_공과금/개인 및 전문 서비스,부산_금융/보험,부산_기타
13660.1,3578.65,1058.8,1539.72,786.25,92.46,101.42,331.61,207.97,176.68,31.29,719.6,443.9,42.93,98.33,134.44,1428.83,377.67,57.42,320.25,1598.88,440.52,1158.36,720.58,412.64,42.19,265.75,292.76,18.61,123.76,150.39,495.37,417.96,77.4,402.99,1905.58,136.95,1768.63,764.45,94.56,740.61
14913.88,4107.36,1315.47,1661.42,923.92,99.73,106.83,67.72,253.56,214.83,38.73,871.59,543.15,56.42,120.78,151.23,1574.46,446.24,70.34,375.9,1705.07,471.25,1233.82,833.04,455.6,57.38,320.06,209.08,12.51,106.33,90.25,677.78,536.46,141.32,429.35,2168.69,141.35,2027.34,717.52,40.77,811.65
14162.17,3645.01,1192.48,1514.32,713.88,100.01,124.34,67.72,247.56,208.66,38.9,854.66,532.78,58.83,115.13,147.91,1504.14,410.28,62.28,348.0,1648.0,458.33,1189.67,954.98,575.64,59.04,320.3,201.98,15.06,105.08,81.83,612.04,535.48,76.56,379.77,2048.03,137.62,1910.4,707.22,38.27,842.51
15338.25,4024.25,1314.22,1697.49,788.16,109.78,114.59,67.7,279.76,233.21,46.55,968.33,614.96,63.82,128.7,160.85,1564.48,495.32,66.33,428.99,1673.63,453.97,1219.66,1005.29,602.87,63.16,339.26,212.83,13.78,93.57,105.48,665.27,590.8,74.47,403.29,2357.73,158.01,2199.72,705.19,37.93,877.26
14629.83,3934.03,1195.14,1676.22,820.36,115.99,126.32,56.93,252.78,214.14,38.64,816.58,484.93,61.13,123.49,147.03,1462.69,503.34,65.07,438.26,1585.51,433.46,1152.05,1005.86,611.7,56.09,338.06,202.67,14.01,97.61,91.06,573.21,506.07,67.14,390.62,2246.46,149.7,2096.76,691.71,37.89,869.54
15239.06,3895.25,1133.85,1691.46,822.71,121.51,125.72,68.13,260.84,217.83,43.01,780.61,431.2,59.14,129.62,160.65,1558.12,556.03,67.57,488.46,1792.89,494.68,1298.22,992.44,521.77,64.65,406.01,304.86,16.44,135.4,153.01,549.59,465.67,83.92,452.43,2337.22,162.07,2175.15,736.67,35.99,918.0
14858.26,3799.69,1061.13,1669.25,833.22,121.37,114.72,62.88,291.79,247.73,44.06,683.55,350.0,54.8,127.73,151.02,1579.01,480.2,70.88,409.32,1759.93,470.81,1289.12,871.78,447.76,60.93,363.08,274.31,17.87,95.56,160.88,521.97,450.28,71.7,438.1,2509.4,204.27,2305.13,672.19,36.04,877.41
14611.65,4118.7,1243.21,1810.98,813.42,128.16,122.92,55.66,313.02,266.53,46.49,775.57,461.24,57.5,112.39,144.44,1462.02,450.26,70.81,379.44,1576.55,409.56,1166.99,906.89,498.61,57.35,350.94,262.46,13.8,102.08,146.59,594.01,503.2,90.81,390.87,2134.14,137.96,1996.18,670.01,35.99,865.5
15222.89,4079.05,1420.49,1623.17,801.79,114.95,118.65,124.74,266.24,224.94,41.3,917.45,589.76,63.29,111.74,152.66,1491.32,491.28,82.75,408.53,1726.91,448.64,1278.27,947.83,548.16,54.79,344.88,305.51,19.29,104.33,181.89,652.25,578.43,73.82,401.74,2197.18,141.7,2055.48,626.24,56.79,938.35
14960.67,3996.8,1469.65,1596.38,707.39,113.32,110.06,57.93,255.12,214.73,40.4,946.25,617.96,64.51,106.96,156.82,1425.36,504.65,76.92,427.73,1720.49,450.95,1269.54,1007.92,616.45,58.6,332.87,266.01,15.29,94.31,156.41,680.56,608.54,72.01,388.89,2174.46,131.26,2043.2,596.22,35.8,904.2
16885.6,4504.06,1631.21,1837.56,771.47,131.15,132.68,400.31,292.57,249.96,42.61,908.9,569.53,66.49,111.74,161.14,1480.82,512.39,75.02,437.37,1740.16,466.92,1273.24,1149.13,731.56,53.56,364.02,378.7,26.16,116.7,235.84,714.39,619.97,94.42,422.7,2520.06,172.0,2348.06,757.75,103.84,999.84
15054.88,4008.95,1355.58,1603.08,794.35,108.17,147.76,57.15,306.42,268.37,38.04,754.22,427.13,55.02,121.52,150.55,1283.97,429.15,73.44,355.71,1914.34,491.36,1422.97,890.49,498.57,54.04,337.88,293.62,17.87,119.81,155.93,577.13,492.91,84.23,451.67,2396.89,166.64,2230.25,745.56,32.89,912.41
13676.08,4021.8,1294.6,1712.23,785.84,114.35,114.79,52.34,347.49,302.34,45.14,692.61,397.66,47.82,108.15,138.98,1134.89,391.44,64.44,326.99,1631.72,416.28,1215.44,704.65,380.01,46.08,278.55,262.49,17.38,112.98,132.12,485.06,414.36,70.69,403.51,2065.77,143.22,1922.55,598.49,34.14,849.7
15254.16,4207.25,1430.76,1707.39,815.7,135.31,118.09,72.53,274.29,232.5,41.79,854.53,499.37,62.82,135.98,156.36,1353.05,484.64,82.22,402.42,1835.75,477.2,1358.56,827.32,423.8,68.07,335.46,280.16,15.2,119.02,145.95,686.98,544.66,142.32,440.94,2293.27,152.6,2140.67,677.01,40.2,926.22
14713.46,4045.72,1346.59,1597.73,802.67,147.28,151.45,49.32,273.38,233.54,39.84,846.68,501.2,61.83,128.04,155.61,1255.21,446.36,74.72,371.64,1799.97,463.54,1336.43,877.17,490.15,55.16,331.86,315.18,16.67,125.31,173.2,627.77,546.78,80.99,393.01,2199.7,138.64,2061.07,648.56,37.77,897.66
16013.28,4502.06,1528.02,1801.26,862.11,167.72,142.95,42.63,322.0,277.75,44.25,971.63,587.17,71.22,148.71,164.53,1320.42,505.82,82.18,423.64,1805.19,461.99,1343.2,870.12,446.65,62.57,360.91,295.33,17.27,117.78,160.28,698.54,622.53,76.01,414.07,2609.72,171.89,2437.83,668.74,37.91,949.12
14515.76,4134.84,1243.14,1683.0,906.5,173.77,128.43,46.89,297.91,253.77,44.14,787.24,447.28,60.63,127.23,152.12,1229.54,508.35,81.56,426.79,1609.36,389.38,1219.97,819.62,397.37,61.01,361.23,268.64,13.29,101.26,154.09,570.27,502.03,68.24,411.44,2205.07,133.37,2071.7,670.36,38.42,917.82
15751.27,4290.03,1268.3,1791.93,910.3,187.33,132.17,76.16,318.79,275.41,43.38,776.57,417.68,58.4,140.87,159.62,1314.7,586.33,83.6,502.74,1851.97,454.17,1397.8,910.05,426.38,64.31,419.36,349.28,22.3,155.95,171.03,582.58,494.04,88.54,461.05,2475.62,158.69,2316.93,774.0,36.79,947.35
15738.8,4388.84,1249.13,1862.24,938.76,208.46,130.25,75.84,315.87,278.91,36.95,695.46,344.49,53.4,148.56,149.0,1366.28,543.77,81.83,461.94,1840.79,464.12,1376.68,834.0,401.64,56.14,376.21,279.4,21.75,102.51,155.15,557.34,481.95,75.39,457.08,2748.43,216.69,2531.74,699.93,32.13,903.63
15361.05,4512.67,1313.58,1930.65,950.55,198.08,119.81,56.21,407.9,351.12,56.77,785.48,455.88,56.11,120.7,152.79,1249.43,439.68,79.02,360.66,1730.36,437.59,1292.77,935.54,514.34,55.53,365.66,271.7,16.81,96.78,158.11,594.64,500.5,94.14,394.09,2265.84,135.66,2130.17,783.56,36.07,897.89
16176.33,4558.4,1651.84,1711.65,825.12,202.05,167.73,66.15,287.63,242.4,45.23,948.02,590.03,65.51,131.03,161.43,1255.19,509.12,102.56,406.56,1942.0,471.84,1470.15,1021.75,571.4,64.62,385.73,299.98,21.99,103.14,174.85,713.4,638.04,75.36,436.9,2402.61,169.56,2233.05,774.64,37.9,922.65
15588.65,4666.82,1763.46,1699.08,847.46,193.28,163.54,60.45,278.43,241.21,37.22,932.81,609.26,59.56,115.48,148.5,1221.85,513.83,95.38,418.45,1801.62,450.88,1350.75,816.18,421.35,53.3,341.52,271.91,16.12,95.82,159.97,690.32,620.97,69.35,389.88,2376.34,148.02,2228.32,685.23,36.07,846.91
16788.33,4575.32,1647.0,1702.22,860.75,200.6,164.74,68.92,320.95,279.34,41.61,904.87,555.87,61.14,126.05,161.81,1291.99,521.63,91.54,430.09,1965.41,499.49,1465.92,1277.36,831.13,60.61,385.62,308.43,16.84,112.47,179.12,683.74,591.2,92.54,448.22,2673.98,181.09,2492.89,797.16,35.13,915.23
15463.85,4282.62,1348.94,1672.24,920.23,188.14,153.08,64.13,341.63,297.21,44.43,786.0,454.83,50.31,127.63,153.23,1294.48,435.69,86.48,349.21,2053.63,502.0,1551.63,594.18,172.31,47.72,374.15,267.1,15.33,98.08,153.69,590.38,509.69,80.68,469.53,2588.28,177.02,2411.26,792.49,32.97,870.74
14483.18,4331.95,1369.35,1746.39,890.99,186.75,138.47,57.71,353.84,308.36,45.48,707.46,401.5,45.95,121.99,138.01,1176.17,432.06,81.62,350.43,1815.46,449.88,1365.58,506.47,147.86,46.95,311.67,309.77,12.92,148.98,147.87,519.75,444.59,75.16,441.61,2287.51,148.04,2139.47,670.22,34.96,838.24
16304.52,4378.28,1433.95,1652.73,927.99,209.45,154.16,61.69,299.48,255.39,44.09,850.98,498.46,57.29,136.53,158.7,1221.07,505.38,90.04,415.34,2020.17,510.79,1509.38,1401.71,974.06,68.43,359.21,302.04,15.07,128.29,158.68,679.2,533.99,145.21,477.8,2402.78,149.07,2253.71,751.9,41.06,910.98
15870.68,4287.18,1421.73,1590.59,913.67,210.35,150.85,61.41,298.2,255.44,42.75,877.17,526.39,59.98,134.67,156.14,1145.61,463.79,85.08,378.7,1951.37,490.87,1460.5,1308.26,897.22,61.1,349.93,313.38,16.16,117.92,179.3,641.07,561.42,79.65,426.23,2416.02,147.08,2268.94,729.45,38.68,912.85
17049.9,4769.17,1619.68,1784.0,962.37,234.17,168.95,67.65,329.13,280.36,48.76,969.88,589.95,69.78,147.12,163.03,1201.39,536.81,96.34,440.47,1916.21,476.63,1439.58,1401.05,962.52,70.41,368.13,329.08,16.53,148.59,163.97,682.69,607.46,75.24,435.94,2766.6,170.06,2596.55,661.31,40.45,942.53
16244.02,4268.45,1287.86,1684.9,901.75,237.83,156.11,59.6,297.76,251.95,45.81,861.36,499.75,68.6,135.16,157.85,1196.15,530.0,85.48,444.52,1941.26,489.32,1451.94,1490.14,1036.88,74.54,378.73,340.35,16.33,145.86,178.16,581.51,511.43,70.08,445.28,2550.96,155.95,2395.01,687.59,40.8,952.8
