날짜,기타_합계,기타_종합소매,기타_ 백화점,기타_ 대형마트/유통전문점,기타_ 슈퍼마켓,기타_ 편의점,기타_ 면세점,기타_전자상거래/통신판매,기타_식료품,기타_ 일반식료품,기타_ 건강보조식품,기타_의류/잡화,기타_ 의복/직물,기타_ 복식잡화,기타_ 시계/귀금속/안경,기타_ 화장품,기타_연료,기타_가구/가전,기타_ 가구,기타_ 가전제품/정보통신기기,기타_의료/보건,기타_ 종합병원,기타_ 일반병의원/기타의료기관,기타_자동차,기타_ 국산자동차신품,기타_ 기타운송수단,기타_ 자동차 부품 및 정비,기타_여행/교통,기타_ 여행사/자동차임대,기타_ 항공사,기타_ 대중교통,기타_오락/문화,기타_ 스포츠/오락/여가,기타_ 서적/문구,기타_교육,기타_숙박/음식,기타_ 숙박,기타_ 음식점,기타_공과금/개인 및 전문 서비스,기타_금융/보험,기타_기타
2020/02,2157.69,289.43,29.18,149.39,69.52,38.67,2.67,634.9,44.98,35.33,9.64,52.31,20.91,6.4,10.42,14.57,87.88,31.43,8.22,23.21,216.17,49.52,166.65,43.68,6.01,5.87,31.79,29.64,3.09,5.68,20.87,54.73,41.6,13.13,52.69,260.71,9.88,250.83,109.9,124.97,124.28
2020/03,2076.87,312.4,24.75,168.59,79.09,39.3,0.67,633.02,50.39,42.15,8.23,47.22,18.14,6.91,8.96,13.22,82.27,33.45,8.62,24.83,190.35,41.08,149.28,54.37,13.31,9.34,31.72,19.9,1.77,3.73,14.4,54.75,42.4,12.35,31.65,226.19,5.71,220.48,98.49,129.69,112.72
2020/04,2090.54,301.19,31.88,159.58,69.57,39.63,0.54,624.71,48.26,39.59,8.67,50.1,21.64,6.44,9.13,12.89,74.35,33.0,9.18,23.82,192.3,42.85,149.45,53.14,12.27,9.46,31.41,28.15,2.01,9.3,16.84,61.21,50.02,11.2,39.14,238.43,6.19,232.24,97.08,126.03,123.43
2020/05,2167.56,294.14,40.61,151.39,62.54,38.4,1.19,621.58,50.12,40.25,9.87,61.2,30.1,7.36,10.11,13.62,69.98,38.28,10.75,27.53,199.82,46.29,153.53,59.41,17.39,8.1,33.91,32.45,2.43,9.65,20.37,77.85,65.4,12.45,44.71,268.88,9.03,259.84,98.63,134.2,116.32
2020/06,2059.83,280.48,39.4,140.78,60.41,38.73,1.15,580.25,43.75,34.96,8.8,56.71,28.15,7.41,9.37,11.77,71.77,41.8,9.98,31.82,193.26,47.15,146.11,62.41,20.73,7.2,34.47,35.16,2.26,12.15,20.76,70.56,59.99,10.57,41.15,257.92,9.49,248.42,91.72,121.03,111.87
2020/07,2241.18,289.21,35.24,147.76,61.94,42.9,1.38,613.92,46.92,37.41,9.51,51.73,22.73,6.86,9.66,12.47,76.87,34.04,9.14,24.89,215.09,51.94,163.15,57.74,16.86,6.23,34.65,39.19,3.42,14.17,21.6,68.23,55.61,12.61,48.25,276.81,11.74,265.07,152.62,132.38,138.2
2020/08,2113.78,303.05,32.47,158.58,67.82,42.57,1.61,581.37,49.07,40.11,8.96,46.36,19.27,6.69,8.55,11.86,78.87,36.85,8.38,28.47,196.16,46.52,149.64,58.13,13.61,8.58,35.94,29.72,4.15,7.08,18.49,62.44,50.96,11.48,45.4,276.33,14.74,261.58,110.77,120.11,119.15
2020/09,2076.37,311.37,32.6,166.5,70.19,40.99,1.09,625.38,63.08,52.28,10.8,45.19,19.12,6.24,7.99,11.84,71.46,33.24,8.21,25.02,188.77,41.05,147.73,53.65,14.99,6.1,32.57,24.39,4.29,3.97,16.14,54.05,44.27,9.78,36.48,212.24,6.87,205.37,128.84,114.8,113.43
2020/10,2130.39,306.97,41.86,159.33,63.67,40.47,1.64,586.74,57.44,47.86,9.57,55.63,28.79,6.7,8.32,11.82,75.42,29.98,8.13,21.85,194.04,46.57,147.47,53.4,13.25,7.2,32.95,25.99,2.97,4.48,18.54,73.69,63.21,10.49,41.08,249.8,10.47,239.33,125.92,126.26,128.03
2020/11,2013.62,287.22,43.49,143.15,60.92,37.57,2.09,579.38,52.62,44.21,8.41,52.48,26.65,6.27,7.78,11.79,73.78,30.52,7.12,23.4,191.88,45.79,146.09,53.11,11.51,7.73,33.87,28.77,4.08,6.0,18.68,64.95,55.78,9.17,39.9,241.22,10.21,231.02,87.82,116.58,113.39
2020/12,1951.39,288.69,32.53,152.78,64.8,37.21,1.36,628.11,53.11,44.89,8.22,45.09,20.68,6.04,7.93,10.45,71.89,29.64,7.48,22.16,188.64,44.78,143.86,54.99,12.76,9.02,33.21,14.6,3.04,-1.75,13.31,41.85,31.45,10.4,32.95,177.4,7.78,169.62,94.67,125.12,104.63
2021/01,1925.37,274.14,27.54,145.17,64.82,34.98,1.63,609.17,52.7,43.98,8.72,39.91,16.3,5.57,7.7,10.34,70.55,28.81,6.93,21.88,199.27,48.25,151.02,50.06,13.97,5.0,31.09,16.4,2.57,0.32,13.51,32.99,22.62,10.38,39.43,172.09,7.03,165.05,115.34,121.87,102.63
2021/02,1776.65,259.12,31.06,138.12,57.33,31.09,1.52,553.48,57.97,49.54,8.43,37.58,15.55,4.85,7.68,9.49,67.3,23.64,5.35,18.29,174.15,41.74,132.41,43.45,13.71,5.73,24.02,16.05,2.33,1.17,12.55,40.03,32.08,7.95,34.69,171.92,7.61,164.3,94.7,102.95,99.63
2021/03,1976.0,271.19,39.97,137.37,56.44,35.67,1.74,575.49,46.83,38.06,8.77,47.53,22.12,6.12,9.32,9.97,76.92,28.85,7.33,21.52,200.74,47.19,153.54,46.84,11.2,5.06,30.58,21.98,3.08,2.4,16.5,64.07,50.86,13.2,40.34,218.12,8.17,209.94,98.33,125.48,113.32
2021/04,1921.26,259.22,33.74,132.9,55.24,35.51,1.82,558.14,47.26,38.32,8.94,47.3,22.51,6.06,8.74,9.98,76.12,25.62,5.81,19.81,195.91,48.32,147.59,46.71,10.71,5.58,30.41,22.67,3.17,3.35,16.15,62.62,53.26,9.37,35.04,215.62,10.07,205.55,93.32,116.44,119.28
2021/05,1968.31,272.27,34.95,140.49,58.07,36.8,1.96,555.7,52.42,42.9,9.52,49.07,23.27,6.47,9.57,9.76,77.32,28.08,7.1,20.98,193.5,46.4,147.1,58.0,14.35,13.5,30.16,24.08,4.56,3.23,16.28,66.62,57.2,9.41,39.14,230.86,10.03,220.83,92.27,114.33,114.66
2021/06,1906.36,264.81,33.32,135.21,56.01,38.37,1.9,540.82,46.03,37.09,8.94,46.51,22.22,6.13,8.57,9.59,76.18,27.17,6.24,20.94,186.45,45.13,141.32,52.26,5.9,15.37,30.99,25.7,4.35,4.52,16.83,64.08,55.56,8.52,36.29,220.57,9.88,210.69,91.73,114.04,113.73
2021/07,1984.21,261.01,28.44,135.44,57.48,38.41,1.24,557.79,45.64,36.85,8.78,43.92,19.17,6.12,8.89,9.73,81.06,34.22,5.65,28.57,197.31,48.4,148.91,44.97,4.66,6.08,34.22,22.21,4.71,3.06,14.44,58.88,49.25,9.63,40.73,209.25,11.43,197.82,134.74,120.81,131.68
2021/08,1882.43,259.09,25.72,136.44,58.32,37.39,1.22,522.09,49.04,40.72,8.31,38.01,14.78,5.62,9.08,8.53,81.11,27.56,7.14,20.41,180.27,44.8,135.46,99.48,2.46,67.91,29.11,21.26,4.95,2.58,13.74,52.33,44.26,8.07,36.34,206.58,12.4,194.18,101.08,106.16,102.04
2021/09,1893.12,253.09,31.55,130.59,53.74,35.9,1.31,528.09,63.09,53.05,10.04,40.9,17.91,5.35,7.93,9.7,75.41,23.65,5.65,18.0,167.09,40.18,126.91,98.3,2.13,68.35,27.82,22.64,5.13,3.26,14.25,56.57,47.97,8.6,33.48,184.28,8.62,175.66,126.33,110.13,110.05
2021/10,1811.21,231.21,34.86,113.67,47.45,33.67,1.56,520.98,46.7,37.35,9.35,47.14,23.61,6.25,8.42,8.85,79.42,22.71,6.24,16.47,183.59,43.82,139.77,43.64,3.43,8.76,31.45,23.17,4.43,3.45,15.29,62.94,54.72,8.22,34.49,207.06,10.32,196.74,105.86,104.27,98.02
2021/11,1777.74,241.26,38.29,119.31,49.5,32.16,2.0,510.09,49.95,42.47,7.48,44.38,23.07,5.62,7.54,8.16,82.79,21.54,5.64,15.91,173.5,40.81,132.69,47.95,1.25,15.88,30.82,24.86,4.71,3.83,16.32,60.6,53.24,7.36,30.81,220.37,10.87,209.5,76.1,93.47,100.07
2021/12,1790.58,239.41,35.05,119.05,50.05,33.47,1.79,533.01,50.05,40.9,9.15,41.93,20.3,5.75,7.24,8.64,78.24,18.91,5.14,13.76,187.69,44.37,143.31,37.38,2.39,3.12,31.87,19.82,3.91,1.85,14.06,48.16,39.11,9.05,33.21,204.97,11.36,193.6,89.73,108.63,99.44
2022/01,1853.41,247.47,29.76,128.76,56.05,31.19,1.71,525.41,65.91,58.99,6.93,43.64,20.33,5.34,8.79,9.17,77.35,20.23,5.55,14.69,195.78,42.74,153.04,34.93,1.61,3.12,30.2,23.18,5.2,4.7,13.29,43.54,34.25,9.29,35.7,202.78,12.85,189.93,124.77,97.08,115.64
2022/02,1559.42,209.74,23.3,106.2,50.05,28.42,1.78,459.25,43.69,41.16,2.53,34.61,14.68,4.56,7.87,7.5,67.81,18.6,4.5,14.1,174.53,36.17,138.36,30.22,2.28,3.39,24.56,21.22,5.2,5.98,10.04,38.94,32.4,6.54,29.49,166.96,11.19,155.78,84.38,91.09,88.9
2022/03,1818.15,236.09,28.27,118.33,53.49,34.57,1.43,538.63,42.41,39.65,2.76,42.93,21.23,5.65,8.63,7.42,76.98,21.8,5.64,16.16,191.18,37.66,153.52,33.95,3.23,3.9,26.82,35.03,4.75,18.18,12.09,59.91,48.73,11.18,33.54,194.62,9.98,184.65,87.45,117.69,105.94
2022/04,1848.03,235.99,31.55,115.9,52.89,33.44,2.2,523.4,43.84,41.12,2.72,49.18,26.57,5.86,8.88,7.87,82.56,21.07,5.18,15.9,188.69,41.03,147.66,37.45,2.99,3.94,30.52,26.96,5.5,7.22,14.24,68.18,60.01,8.17,31.44,225.23,10.7,214.53,89.46,107.07,117.5
