경남_합계,경남_종합소매,경남_ 백화점,경남_ 대형마트/유통전문점,경남_ 슈퍼마켓,경남_ 편의점,경남_ 면세점,경남_전자상거래/통신판매,경남_식료품,경남_ 일반식료품,경남_ 건강보조식품,경남_의류/잡화,경남_ 의복/직물,경남_ 복식잡화,경남_ 시계/귀금속/안경,경남_ 화장품,경남_연료,경남_가구/가전,경남_ 가구,경남_ 가전제품/정보통신기기,경남_의료/보건,경남_ 종합병원,경남_ 일반병의원/기타의료기관,경남_자동차,경남_ 국산자동차신품,경남_ 기타운송수단,경남_ 자동차 부품 및 정비,경남_여행/교통,경남_ 여행사/자동차임대,경남_ 항공사,경남_ 대중교통,경남_오락/문화,경남_ 스포츠/오락/여가,경남_ 서적/문구,경남_교육,경남_숙박/음식,경남_ 숙박,경남_ 음식점,경남_공과금/개인 및 전문 서비스,경남_금융/보험,경남_기타
10969.45,2363.64,553.33,1219.85,481.26,108.72,0.48,19.16,256.61,231.21,25.4,628.38,402.26,39.75,80.56,105.82,2103.0,356.83,64.1,292.73,1041.39,247.87,793.52,357.89,2.6,27.65,327.64,10.43,2.94,0.0,7.5,626.3,509.13,117.17,325.5,1835.92,79.26,1756.66,286.04,2.64,755.71
10668.23,2245.91,514.14,1138.16,483.0,110.04,0.57,19.6,251.76,227.74,24.02,661.63,437.45,41.27,78.65,104.27,2000.95,305.03,56.97,248.06,1014.28,243.48,770.8,376.11,6.54,28.57,340.99,9.94,2.82,0.08,7.04,592.68,525.31,67.37,300.27,1776.93,80.43,1696.5,288.88,2.82,821.46
11461.83,2452.89,542.23,1265.05,526.12,119.11,0.39,19.47,292.07,261.93,30.14,712.56,468.39,44.57,85.43,114.17,2095.82,381.68,58.4,323.28,1001.58,235.92,765.66,398.39,2.09,31.69,364.6,12.13,3.99,0.0,8.14,642.98,577.34,65.64,314.03,1993.84,95.78,1898.05,284.17,2.47,857.76
10935.15,2417.11,474.45,1263.86,554.27,124.17,0.36,17.9,265.47,242.48,22.99,590.92,364.78,43.84,80.88,101.42,1982.06,388.96,58.84,330.12,959.5,229.7,729.8,371.55,2.57,27.43,341.56,10.04,2.95,0.0,7.09,598.4,541.3,57.1,305.07,1903.79,87.44,1816.34,284.76,2.25,837.36
11526.87,2458.05,443.64,1312.98,568.97,132.08,0.38,20.82,268.39,243.34,25.05,577.24,334.62,43.58,86.25,112.79,2084.5,459.08,59.65,399.43,1100.82,267.6,833.22,427.35,2.35,30.71,394.29,16.59,3.74,0.0,12.85,607.22,535.59,71.63,346.49,2013.47,97.23,1916.24,286.0,2.45,858.4
11558.75,2432.05,383.5,1335.51,584.23,128.47,0.33,26.38,318.7,291.23,27.47,482.85,255.08,36.9,83.7,107.17,2132.89,357.69,63.96,293.73,1118.09,273.94,844.15,415.34,2.66,26.87,385.81,23.94,4.13,0.0,19.8,604.32,537.18,67.14,342.72,2173.72,130.06,2043.67,269.65,2.37,858.04
11022.73,2614.67,533.64,1381.22,562.86,136.67,0.28,19.67,343.26,308.31,34.95,584.5,370.05,41.21,71.7,101.53,1972.24,319.9,61.96,257.94,981.03,228.27,752.76,377.04,2.42,29.38,345.23,16.36,3.41,0.0,12.96,591.85,521.76,70.08,299.72,1792.48,79.95,1712.52,265.55,2.2,842.26
11191.96,2392.28,584.97,1172.88,508.05,123.5,2.88,61.42,273.45,248.35,25.09,695.58,475.57,43.07,70.95,105.99,1969.59,329.05,62.51,266.54,1036.39,238.72,797.67,397.82,12.18,31.11,354.54,30.76,5.99,4.3,20.47,637.69,576.22,61.47,304.61,1867.06,88.65,1778.41,281.76,20.86,893.64
11255.84,2376.09,596.3,1170.42,488.87,120.35,0.16,17.92,271.95,248.58,23.37,749.21,520.8,45.14,69.18,114.08,1982.75,357.45,62.96,294.49,1068.86,252.19,816.67,391.69,2.33,25.0,364.36,16.1,3.73,0.0,12.36,681.1,617.66,63.44,318.39,1883.93,82.36,1801.57,268.59,2.27,869.55
12592.46,2795.72,738.68,1365.55,543.73,133.84,13.91,230.72,295.02,270.44,24.57,772.29,527.57,48.69,76.61,119.42,2013.96,368.36,60.36,308.0,1105.28,269.28,836.0,451.65,49.95,23.29,378.41,46.54,11.07,8.89,26.58,669.74,586.97,82.77,347.93,2092.87,99.08,1993.79,389.09,56.86,956.44
10886.03,2244.85,444.08,1157.83,530.85,111.75,0.33,19.25,288.16,265.7,22.45,593.32,365.2,36.54,80.71,110.88,1780.18,286.1,58.43,227.67,1202.15,281.14,921.02,374.25,2.14,22.44,349.67,15.22,3.68,0.0,11.54,551.52,482.97,68.55,354.78,2020.33,99.2,1921.14,300.72,2.44,852.77
10043.42,2379.92,450.0,1283.72,526.49,119.48,0.22,22.09,349.75,316.63,33.12,528.6,319.01,33.16,71.66,104.78,1565.41,279.53,56.87,222.66,1020.74,238.43,782.31,324.58,2.46,21.69,300.43,14.94,3.14,0.0,11.8,468.5,408.94,59.55,312.3,1697.0,73.55,1623.45,281.56,2.7,795.8
11359.46,2430.81,519.31,1239.11,526.85,145.18,0.36,19.89,280.37,254.94,25.43,666.9,411.92,45.16,92.74,117.08,1852.49,374.38,71.22,303.17,1151.9,270.03,881.87,397.21,2.2,32.76,362.25,21.89,3.62,0.0,18.28,635.46,518.7,116.76,343.34,1972.52,83.39,1889.13,341.23,2.92,868.15
10974.57,2376.82,490.52,1180.56,546.97,158.61,0.15,21.26,289.42,265.11,24.31,666.86,411.89,44.06,87.83,123.07,1709.51,295.38,64.47,230.91,1143.11,272.36,870.75,394.82,2.9,27.89,364.04,27.02,3.7,0.0,23.32,600.19,529.59,70.6,312.17,1958.78,87.9,1870.88,311.09,2.79,865.33
12192.7,2696.96,531.86,1367.24,617.95,179.68,0.22,20.12,344.59,315.7,28.88,761.98,476.48,52.11,103.59,129.8,1858.12,360.79,72.35,288.44,1135.82,269.93,865.89,440.96,2.52,33.72,404.72,34.35,4.63,0.0,29.72,698.17,632.75,65.42,329.76,2271.72,101.85,2169.87,326.51,2.89,909.99
