날짜,전북_합계,전북_종합소매,전북_ 백화점,전북_ 대형마트/유통전문점,전북_ 슈퍼마켓,전북_ 편의점,전북_ 면세점,전북_전자상거래/통신판매,전북_식료품,전북_ 일반식료품,전북_ 건강보조식품,전북_의류/잡화,전북_ 의복/직물,전북_ 복식잡화,전북_ 시계/귀금속/안경,전북_ 화장품,전북_연료,전북_가구/가전,전북_ 가구,전북_ 가전제품/정보통신기기,전북_의료/보건,전북_ 종합병원,전북_ 일반병의원/기타의료기관,전북_자동차,전북_ 국산자동차신품,전북_ 기타운송수단,전북_ 자동차 부품 및 정비,전북_여행/교통,전북_ 여행사/자동차임대,전북_ 항공사,전북_ 대중교통,전북_오락/문화,전북_ 스포츠/오락/여가,전북_ 서적/문구,전북_교육,전북_숙박/음식,전북_ 숙박,전북_ 음식점,전북_공과금/개인 및 전문 서비스,전북_금융/보험,전북_기타
2021/06,7542.19,1500.7,162.72,599.6,528.94,209.44,0.0,11.72,328.2,311.37,16.83,279.11,159.19,25.53,51.15,43.24,1231.39,219.7,32.31,187.39,942.16,205.39,736.77,318.51,0.84,34.43,283.23,3.79,2.14,0.04,1.6,389.34,356.36,32.98,188.74,1314.26,47.09,1267.18,271.22,2.78,540.57
2021/07,7482.2,1418.46,155.35,587.97,473.8,201.34,0.0,12.7,303.04,286.32,16.72,252.25,133.1,23.11,53.19,42.85,1262.48,257.21,33.54,223.67,969.18,213.35,755.83,331.04,0.67,35.62,294.74,4.52,2.59,0.04,1.88,358.52,322.47,36.05,196.09,1305.76,53.78,1251.97,272.33,2.74,535.9
2021/08,7589.78,1586.45,135.79,659.39,566.87,224.4,0.0,13.92,361.78,344.86,16.93,219.8,104.82,21.39,55.96,37.62,1273.07,218.07,32.8,185.27,928.79,204.04,724.75,285.01,1.16,26.27,257.58,4.4,2.38,0.04,1.98,339.97,304.5,35.48,259.47,1358.43,68.19,1290.23,242.85,2.63,495.14
2021/09,7610.24,1679.71,221.9,670.02,565.13,222.65,0.0,12.68,488.83,454.98,33.84,269.81,152.48,24.1,51.38,41.85,1251.74,190.75,35.93,154.83,877.59,188.62,688.97,291.38,0.87,35.7,254.82,4.72,2.58,0.03,2.11,390.69,351.18,39.51,192.35,1208.5,46.38,1162.12,247.49,2.29,501.72
2021/10,8091.92,1521.06,222.96,575.81,502.44,219.85,0.0,13.34,376.46,355.99,20.48,342.63,215.19,27.6,55.75,44.08,1400.08,208.94,46.11,162.83,998.91,207.79,791.12,324.19,0.52,27.77,295.9,6.4,3.43,0.05,2.92,454.66,419.04,35.62,195.12,1440.49,65.02,1375.47,279.7,2.79,527.13
2021/11,8187.19,1574.23,225.65,610.96,519.1,218.52,0.0,11.57,393.74,375.65,18.09,330.84,212.75,25.7,50.55,41.84,1473.46,216.45,39.1,177.35,962.43,197.42,765.02,320.89,0.58,28.98,291.34,6.79,3.22,0.05,3.52,427.49,391.22,36.27,196.92,1483.32,65.2,1418.12,269.1,3.16,516.79
2021/12,7941.8,1532.51,195.75,592.27,534.12,210.37,0.0,11.75,373.24,355.89,17.36,309.63,185.14,26.28,54.99,43.22,1455.36,171.02,35.68,135.34,1020.34,205.99,814.36,345.66,0.71,32.21,312.75,4.56,2.48,0.03,2.05,360.88,314.0,46.89,210.96,1335.96,64.22,1271.74,286.87,3.27,519.76
2022/01,7926.35,1688.86,187.46,691.17,605.05,205.18,0.0,12.7,510.51,479.09,31.42,259.15,139.53,23.19,54.67,41.75,1372.18,184.2,31.61,152.59,1035.99,210.62,825.37,292.31,0.82,24.11,267.39,3.79,1.92,0.03,1.84,304.51,263.78,40.72,210.55,1278.8,86.17,1192.63,280.43,3.09,489.28
2022/02,6623.93,1337.95,145.73,548.85,460.48,182.88,0.0,10.72,294.96,279.06,15.9,210.94,110.04,18.75,48.26,33.9,1234.66,224.58,26.08,198.5,876.76,167.73,709.03,230.57,0.76,24.71,205.1,4.11,2.28,0.04,1.79,264.69,231.99,32.7,232.03,1025.39,68.9,956.49,237.99,2.29,436.3
2022/03,7684.08,1497.39,173.15,593.92,513.28,217.04,0.0,14.48,332.69,317.34,15.35,264.52,150.36,22.63,51.06,40.47,1501.37,192.34,32.43,159.9,1013.01,186.7,826.31,289.1,0.48,40.24,248.37,5.49,3.48,0.03,1.97,368.68,315.36,53.31,199.95,1163.92,44.16,1119.76,283.6,3.61,553.93
2022/04,8175.53,1525.08,194.97,594.27,517.73,218.11,0.0,11.3,354.74,337.46,17.28,304.16,184.73,25.8,53.14,40.49,1593.89,177.44,32.57,144.87,985.41,191.7,793.71,309.16,0.86,34.32,273.98,7.86,5.68,0.05,2.13,430.43,396.33,34.1,182.63,1403.53,53.33,1350.2,294.11,2.86,592.93
