인천_합계,인천_종합소매,인천_ 백화점,인천_ 대형마트/유통전문점,인천_ 슈퍼마켓,인천_ 편의점,인천_ 면세점,인천_전자상거래/통신판매,인천_식료품,인천_ 일반식료품,인천_ 건강보조식품,인천_의류/잡화,인천_ 의복/직물,인천_ 복식잡화,인천_ 시계/귀금속/안경,인천_ 화장품,인천_연료,인천_가구/가전,인천_ 가구,인천_ 가전제품/정보통신기기,인천_의료/보건,인천_ 종합병원,인천_ 일반병의원/기타의료기관,인천_자동차,인천_ 국산자동차신품,인천_ 기타운송수단,인천_ 자동차 부품 및 정비,인천_여행/교통,인천_ 여행사/자동차임대,인천_ 항공사,인천_ 대중교통,인천_오락/문화,인천_ 스포츠/오락/여가,인천_ 서적/문구,인천_교육,인천_숙박/음식,인천_ 숙박,인천_ 음식점,인천_공과금/개인 및 전문 서비스,인천_금융/보험,인천_기타
10464.03,2660.16,397.43,1228.33,533.03,106.06,395.3,29.51,304.47,274.39,30.09,582.63,307.99,86.7,82.67,105.26,1541.84,322.87,68.28,254.58,995.38,271.97,723.41,313.83,3.6,30.15,280.08,129.25,6.64,9.02,113.59,538.9,438.82,100.09,375.41,1766.49,89.46,1677.02,350.75,2.83,549.73
9968.84,2515.75,360.62,1097.79,524.62,105.29,427.42,32.52,298.53,271.64,26.89,557.33,301.04,82.41,77.69,96.18,1463.27,273.78,60.37,213.41,979.08,281.31,697.77,327.92,6.62,34.08,287.22,121.31,5.92,9.47,105.92,481.34,418.48,62.86,336.29,1660.62,92.15,1568.47,336.16,3.64,581.3
10706.6,2753.0,387.81,1252.16,566.63,114.24,432.15,32.81,336.55,304.62,31.93,602.99,334.36,75.89,86.66,106.08,1499.68,314.75,63.88,250.88,969.8,274.01,695.79,346.35,3.57,33.76,309.02,150.66,6.56,8.58,135.52,518.59,458.05,60.54,360.53,1850.91,100.24,1750.67,346.29,3.01,620.69
10412.05,2766.54,350.7,1265.76,595.66,123.47,430.94,32.96,299.1,272.23,26.87,531.02,283.36,65.3,84.18,98.18,1453.27,346.12,60.72,285.41,941.18,275.97,665.21,336.04,3.56,36.4,296.08,137.83,5.41,8.58,123.84,467.36,414.9,52.46,344.87,1816.33,101.5,1714.83,344.05,2.85,592.54
10763.33,2712.41,321.25,1241.42,586.61,129.01,434.12,37.03,292.8,264.38,28.42,505.08,247.9,60.4,91.45,105.32,1543.87,352.54,60.82,291.72,1048.62,305.07,743.56,365.76,2.75,29.39,333.62,171.3,6.87,8.3,156.13,466.17,404.56,61.6,399.99,1903.66,106.41,1797.26,336.67,3.19,624.24
10695.05,2708.45,295.35,1216.57,609.54,126.64,460.34,34.96,332.62,300.41,32.21,439.32,199.75,53.66,88.31,97.61,1538.05,316.33,62.96,253.37,1040.96,293.55,747.41,354.75,2.4,29.65,322.7,185.06,8.62,8.48,167.96,443.29,384.7,58.59,391.38,1984.28,127.69,1856.59,317.52,2.63,605.44
10280.43,2766.94,344.23,1248.35,586.25,137.61,450.49,29.72,423.76,382.83,40.93,482.24,253.65,59.26,76.08,93.25,1412.37,291.73,64.75,226.98,938.93,263.79,675.14,317.87,3.02,30.68,284.16,167.6,8.17,8.77,150.66,450.64,389.22,61.42,346.81,1762.42,105.76,1656.66,293.18,1.93,594.31
11067.26,2811.83,488.17,1213.6,550.89,129.61,429.56,106.52,358.5,320.28,38.23,589.9,344.14,70.24,75.48,100.03,1449.29,352.98,70.42,282.56,1033.96,280.19,753.77,365.98,25.37,34.65,305.96,207.18,12.61,19.59,174.98,494.82,436.32,58.5,353.81,1872.92,111.64,1761.28,341.2,31.18,697.19
10397.74,2668.61,412.15,1169.39,547.94,119.42,419.71,28.05,338.75,305.95,32.8,601.6,357.63,76.66,68.76,98.55,1408.47,360.07,61.77,298.3,989.06,275.59,713.47,344.93,3.46,22.46,319.01,167.0,5.3,7.6,154.1,492.83,437.96,54.87,354.33,1738.76,97.37,1641.39,300.82,2.6,601.86
11438.51,3029.63,541.24,1358.53,577.76,134.59,417.53,186.98,332.12,303.8,28.31,624.74,372.12,75.48,71.61,105.54,1422.55,279.11,53.48,225.64,1038.77,306.31,732.45,393.96,34.34,23.81,335.81,191.21,9.77,16.78,164.66,499.11,427.18,71.93,377.6,1986.42,121.12,1865.3,369.68,40.67,665.95
10237.06,2671.47,328.77,1128.24,571.08,106.25,537.13,35.19,330.83,304.6,26.23,496.02,265.81,57.42,76.72,96.07,1270.58,228.79,49.51,179.28,1130.08,321.86,808.23,310.79,3.3,20.8,286.68,172.66,5.94,8.21,158.51,403.68,342.04,61.63,400.9,1859.67,112.16,1747.51,325.66,2.21,598.54
