대구_합계,대구_종합소매,대구_ 백화점,대구_ 대형마트/유통전문점,대구_ 슈퍼마켓,대구_ 편의점,대구_ 면세점,대구_전자상거래/통신판매,대구_식료품,대구_ 일반식료품,대구_ 건강보조식품,대구_의류/잡화,대구_ 의복/직물,대구_ 복식잡화,대구_ 시계/귀금속/안경,대구_ 화장품,대구_연료,대구_가구/가전,대구_ 가구,대구_ 가전제품/정보통신기기,대구_의료/보건,대구_ 종합병원,대구_ 일반병의원/기타의료기관,대구_자동차,대구_ 국산자동차신품,대구_ 기타운송수단,대구_ 자동차 부품 및 정비,대구_여행/교통,대구_ 여행사/자동차임대,대구_ 항공사,대구_ 대중교통,대구_오락/문화,대구_ 스포츠/오락/여가,대구_ 서적/문구,대구_교육,대구_숙박/음식,대구_ 숙박,대구_ 음식점,대구_공과금/개인 및 전문 서비스,대구_금융/보험,대구_기타
9243.29,2433.79,750.84,1010.84,625.46,45.77,0.89,22.03,177.71,161.14,16.57,586.8,353.24,36.42,97.91,99.23,1344.93,304.06,51.61,252.45,1091.69,266.07,825.62,260.23,0.78,43.27,216.18,21.83,5.65,0.35,15.83,470.7,353.79,116.92,326.48,1311.92,43.2,1268.72,260.79,2.34,627.98
9075.72,2120.96,691.6,928.7,447.51,47.65,5.5,189.82,175.8,159.19,16.61,606.2,367.1,35.8,93.69,109.61,1287.16,265.8,41.64,224.16,1071.6,264.66,806.93,268.2,5.77,42.62,219.81,47.46,11.59,7.66,28.21,431.47,353.25,78.22,291.25,1288.69,48.68,1240.01,266.16,45.58,719.56
9323.86,2294.73,743.52,1021.52,478.58,49.26,1.86,29.21,193.26,175.13,18.13,635.71,384.74,40.35,104.06,106.57,1332.79,323.7,43.8,279.89,1082.44,262.09,820.35,285.74,0.99,46.13,238.61,26.33,5.63,0.34,20.36,434.59,355.97,78.62,309.59,1414.83,47.01,1367.82,261.4,1.98,697.56
8834.0,2211.37,644.85,1014.13,499.31,51.64,1.44,28.92,178.14,162.4,15.74,536.9,307.32,36.91,96.97,95.7,1259.56,326.68,44.59,282.09,1035.56,250.17,785.39,273.33,0.98,48.65,223.7,26.54,4.66,0.33,21.55,376.56,311.11,65.45,299.74,1356.72,46.56,1310.16,238.26,1.68,684.04
9242.07,2224.77,623.37,1050.4,496.2,53.48,1.31,29.89,183.45,166.6,16.85,528.57,283.33,36.7,107.3,101.24,1352.75,344.3,43.5,300.8,1167.54,288.05,879.49,304.44,1.04,49.49,253.91,51.94,6.31,0.64,45.0,385.73,309.86,75.87,341.01,1397.15,41.09,1356.06,228.31,1.94,700.28
9015.94,2114.25,554.39,1010.48,496.0,51.24,2.14,25.05,202.42,184.36,18.06,468.97,233.71,35.07,102.86,97.32,1342.45,287.86,47.03,240.84,1163.44,265.63,897.8,287.76,0.88,43.06,243.82,52.52,5.81,0.56,46.15,367.33,294.95,72.39,359.19,1422.98,41.1,1381.88,223.64,2.14,695.96
8997.58,2400.89,737.77,1107.47,495.08,58.81,1.77,23.65,235.47,214.93,20.54,568.37,353.58,34.63,89.91,90.26,1256.08,260.23,44.63,215.6,1034.17,233.87,800.3,262.07,1.48,43.79,216.81,50.45,5.54,0.13,44.78,390.56,315.98,74.58,300.24,1308.36,44.16,1264.2,214.71,1.47,690.85
9143.43,2145.97,702.34,946.94,433.73,58.92,4.04,72.9,182.18,165.52,16.66,595.86,381.43,37.43,81.63,95.38,1270.11,302.94,52.37,250.58,1101.32,245.61,855.71,288.24,11.7,43.48,233.06,67.48,6.6,5.41,55.48,441.61,374.05,67.57,285.04,1366.35,53.62,1312.73,238.1,20.31,765.0
9190.15,2316.06,820.19,997.55,445.44,51.65,1.24,31.19,185.78,170.79,14.99,640.98,416.49,37.58,83.56,103.35,1243.34,316.73,50.04,266.68,1122.13,256.49,865.64,271.55,0.72,40.11,230.72,54.15,4.82,0.15,49.17,442.49,371.57,70.92,304.49,1334.82,44.73,1290.09,214.88,1.3,710.26
10067.5,2561.45,900.36,1120.56,478.24,55.71,6.58,179.48,209.11,194.18,14.93,640.11,409.88,38.17,85.23,106.83,1264.6,289.96,50.12,239.83,1128.29,255.99,872.3,318.18,28.28,39.3,250.61,77.1,9.85,6.3,60.94,466.97,382.75,84.22,326.31,1543.95,62.82,1481.13,270.33,32.14,759.54
8998.15,2144.97,658.06,955.68,479.19,49.71,2.34,69.53,209.42,194.89,14.53,512.91,286.32,31.89,95.85,98.84,1101.15,258.7,56.17,202.53,1245.66,272.03,973.63,263.57,1.89,41.44,220.24,55.31,4.53,0.22,50.56,401.55,329.07,72.48,343.1,1438.71,45.62,1393.09,238.31,1.52,713.74
