전남_합계,전남_종합소매,전남_ 백화점,전남_ 대형마트/유통전문점,전남_ 슈퍼마켓,전남_ 편의점,전남_ 면세점,전남_전자상거래/통신판매,전남_식료품,전남_ 일반식료품,전남_ 건강보조식품,전남_의류/잡화,전남_ 의복/직물,전남_ 복식잡화,전남_ 시계/귀금속/안경,전남_ 화장품,전남_연료,전남_가구/가전,전남_ 가구,전남_ 가전제품/정보통신기기,전남_의료/보건,전남_ 종합병원,전남_ 일반병의원/기타의료기관,전남_자동차,전남_ 국산자동차신품,전남_ 기타운송수단,전남_ 자동차 부품 및 정비,전남_여행/교통,전남_ 여행사/자동차임대,전남_ 항공사,전남_ 대중교통,전남_오락/문화,전남_ 스포츠/오락/여가,전남_ 서적/문구,전남_교육,전남_숙박/음식,전남_ 숙박,전남_ 음식점,전남_공과금/개인 및 전문 서비스,전남_금융/보험,전남_기타
5056.64,880.09,58.37,572.28,213.25,36.14,0.05,8.78,200.89,192.52,8.37,286.96,188.96,18.93,35.86,43.21,1172.79,168.74,26.8,141.94,415.13,109.94,305.2,170.71,0.18,7.85,162.69,6.18,2.71,0.03,3.43,375.61,318.07,57.54,115.77,866.95,48.32,818.63,100.69,0.15,287.21
4929.16,848.46,52.22,541.37,217.39,37.41,0.07,8.02,203.42,195.37,8.05,289.19,193.34,19.02,34.23,42.6,1125.88,133.4,21.56,111.84,401.5,108.69,292.81,182.61,0.41,9.01,173.19,6.76,2.91,0.01,3.83,353.07,323.75,29.32,106.97,847.42,52.02,795.39,96.28,0.27,325.92
5422.25,965.74,56.48,621.6,245.67,41.92,0.06,8.49,244.22,232.25,11.97,324.96,218.72,21.21,37.69,47.33,1163.66,176.69,22.84,153.85,396.53,106.06,290.47,189.82,0.16,9.98,179.68,8.67,3.58,0.0,5.09,387.65,360.29,27.36,108.41,993.31,60.55,932.77,108.85,0.26,344.98
5096.13,970.8,44.52,626.67,257.12,42.43,0.06,8.17,212.31,204.78,7.54,262.04,164.78,20.3,35.42,41.53,1081.48,188.14,21.88,166.26,380.63,102.64,277.99,181.39,0.22,9.55,171.63,7.65,3.26,0.0,4.39,342.35,318.19,24.16,107.16,921.68,57.91,863.77,98.7,0.2,333.45
5302.96,971.74,40.35,631.8,255.29,44.25,0.04,8.75,209.69,201.4,8.29,248.43,148.44,18.86,37.55,43.57,1101.15,224.0,23.42,200.58,440.54,119.04,321.5,200.4,0.21,9.38,190.81,5.77,3.37,0.0,2.41,334.9,305.05,29.84,119.2,979.9,62.51,917.39,108.09,0.13,350.26
5638.23,1024.96,31.11,665.2,281.48,47.06,0.11,8.35,295.85,285.51,10.34,212.44,116.11,15.83,37.17,43.32,1180.29,176.81,24.81,152.0,446.84,116.0,330.83,200.03,0.25,8.93,190.85,7.95,4.09,0.0,3.86,335.44,305.95,29.49,136.18,1151.26,97.85,1053.42,110.28,0.19,351.37
5268.17,1063.53,52.27,684.64,277.15,49.4,0.06,8.21,318.05,303.16,14.89,271.42,181.46,18.54,32.27,39.14,1104.02,143.36,22.89,120.47,392.52,100.56,291.96,185.37,0.13,9.73,175.5,5.93,3.02,0.0,2.92,344.71,315.21,29.51,108.31,883.5,52.58,830.92,98.12,0.13,340.99
7569.72,1290.79,134.63,753.81,328.12,73.31,0.92,435.21,255.5,241.39,14.11,401.09,260.9,29.33,45.44,65.41,1297.97,191.43,34.67,156.76,641.71,149.35,492.36,367.47,127.33,12.58,227.56,33.93,5.45,1.7,26.78,547.33,507.3,40.02,154.0,1283.92,67.05,1216.87,187.76,11.06,470.55
5137.32,861.57,60.18,543.08,215.51,42.75,0.05,7.9,207.38,200.31,7.07,317.45,222.96,19.8,29.7,44.98,1090.23,163.17,21.61,141.56,423.8,111.38,312.42,196.55,0.26,7.17,189.12,5.89,3.02,0.0,2.86,393.98,369.31,24.67,113.83,915.34,54.6,860.75,100.44,0.1,339.68
5416.8,1011.24,110.86,622.15,228.79,47.75,1.69,64.75,208.16,200.23,7.92,319.82,221.48,20.78,31.32,46.23,1063.96,167.95,19.64,148.31,446.53,117.06,329.47,222.9,15.11,7.92,199.86,14.06,3.44,2.19,8.43,339.09,305.39,33.7,120.59,932.7,51.44,881.26,126.01,20.84,358.21
