울산_합계,울산_종합소매,울산_ 백화점,울산_ 대형마트/유통전문점,울산_ 슈퍼마켓,울산_ 편의점,울산_ 면세점,울산_전자상거래/통신판매,울산_식료품,울산_ 일반식료품,울산_ 건강보조식품,울산_의류/잡화,울산_ 의복/직물,울산_ 복식잡화,울산_ 시계/귀금속/안경,울산_ 화장품,울산_연료,울산_가구/가전,울산_ 가구,울산_ 가전제품/정보통신기기,울산_의료/보건,울산_ 종합병원,울산_ 일반병의원/기타의료기관,울산_자동차,울산_ 국산자동차신품,울산_ 기타운송수단,울산_ 자동차 부품 및 정비,울산_여행/교통,울산_ 여행사/자동차임대,울산_ 항공사,울산_ 대중교통,울산_오락/문화,울산_ 스포츠/오락/여가,울산_ 서적/문구,울산_교육,울산_숙박/음식,울산_ 숙박,울산_ 음식점,울산_공과금/개인 및 전문 서비스,울산_금융/보험,울산_기타
4327.75,1064.67,260.95,485.3,287.19,31.04,0.19,9.75,118.96,111.75,7.21,210.35,126.23,12.16,33.68,38.29,758.17,148.79,21.53,127.25,430.33,110.32,320.01,139.11,0.67,11.14,127.3,3.18,2.1,0.0,1.08,191.02,146.4,44.62,173.82,728.26,31.88,696.38,110.95,0.34,240.05
4068.74,931.33,236.91,450.61,212.53,30.92,0.36,9.9,112.62,106.21,6.41,219.42,136.33,12.1,32.06,38.94,722.88,114.21,18.84,95.38,422.34,111.55,310.79,140.52,0.78,13.18,126.56,3.82,2.59,0.01,1.23,166.48,140.66,25.82,160.01,702.91,31.41,671.5,103.71,0.57,257.99
4357.85,1017.64,254.75,504.0,225.37,33.39,0.14,9.77,130.89,122.56,8.33,238.87,146.7,13.41,36.06,42.71,742.39,141.71,20.61,121.1,423.63,110.34,313.29,151.53,0.53,15.71,135.3,3.82,2.86,0.0,0.95,177.33,150.82,26.51,166.54,774.74,33.37,741.37,109.47,0.32,269.2
4188.37,997.97,220.8,502.75,238.65,35.52,0.26,10.65,121.29,115.31,5.99,199.45,113.72,12.71,34.1,38.92,704.77,141.69,19.34,122.35,411.4,108.89,302.51,137.75,0.92,14.19,122.64,2.66,1.76,0.0,0.9,162.89,139.15,23.74,163.86,759.66,32.18,727.48,112.41,0.27,261.65
4439.41,1008.96,212.37,519.01,239.0,38.3,0.27,11.68,122.52,115.6,6.92,204.66,111.54,13.3,37.18,42.64,743.93,161.97,20.03,141.93,466.11,120.65,345.46,160.46,1.16,15.34,143.95,6.12,3.76,0.0,2.36,166.82,136.83,29.99,185.21,796.0,33.55,762.45,135.93,0.36,268.69
4284.93,967.25,190.74,501.69,238.86,35.75,0.21,10.15,141.4,133.57,7.83,165.73,80.78,11.26,35.36,38.33,738.4,127.19,20.63,106.56,457.03,113.73,343.3,155.9,0.5,11.75,143.66,4.34,2.14,0.0,2.19,157.69,132.12,25.57,169.43,808.95,35.05,773.9,114.71,0.34,266.4
4151.15,1041.39,245.71,528.03,227.98,39.41,0.26,9.37,148.32,138.57,9.75,190.84,110.86,11.43,31.09,37.46,692.77,109.84,18.46,91.39,409.13,102.4,306.73,139.18,0.38,12.43,126.38,5.69,3.49,0.0,2.2,165.19,135.15,30.05,158.51,707.12,29.58,677.53,117.15,0.33,256.32
4433.9,1005.07,255.15,487.95,221.82,38.46,1.7,27.93,127.2,120.58,6.62,241.0,152.62,13.79,31.88,42.72,708.53,131.04,20.38,110.66,458.94,114.92,344.02,158.4,7.58,14.37,136.45,14.98,5.49,2.77,6.72,185.87,161.31,24.56,163.47,788.27,35.39,752.88,121.84,9.73,291.63
4249.38,993.21,276.86,471.43,209.06,35.68,0.18,9.09,121.48,115.05,6.43,235.04,148.65,12.98,30.05,43.35,686.09,137.62,21.39,116.23,446.35,113.11,333.24,142.51,0.89,11.4,130.22,5.39,3.22,0.0,2.17,176.78,151.64,25.13,161.94,756.99,31.45,725.54,105.46,0.37,271.05
4878.71,1166.33,327.31,563.24,231.43,39.22,5.12,112.32,149.87,142.5,7.37,248.21,157.64,14.49,31.0,45.09,690.63,131.09,20.04,111.05,468.52,120.33,348.19,169.53,19.31,10.21,140.01,23.31,7.31,4.76,11.24,194.79,160.52,34.27,176.58,867.69,38.03,829.67,149.61,23.15,307.08
