제주_합계,제주_종합소매,제주_ 백화점,제주_ 대형마트/유통전문점,제주_ 슈퍼마켓,제주_ 편의점,제주_ 면세점,제주_전자상거래/통신판매,제주_식료품,제주_ 일반식료품,제주_ 건강보조식품,제주_의류/잡화,제주_ 의복/직물,제주_ 복식잡화,제주_ 시계/귀금속/안경,제주_ 화장품,제주_연료,제주_가구/가전,제주_ 가구,제주_ 가전제품/정보통신기기,제주_의료/보건,제주_ 종합병원,제주_ 일반병의원/기타의료기관,제주_자동차,제주_ 국산자동차신품,제주_ 기타운송수단,제주_ 자동차 부품 및 정비,제주_여행/교통,제주_ 여행사/자동차임대,제주_ 항공사,제주_ 대중교통,제주_오락/문화,제주_ 스포츠/오락/여가,제주_ 서적/문구,제주_교육,제주_숙박/음식,제주_ 숙박,제주_ 음식점,제주_공과금/개인 및 전문 서비스,제주_금융/보험,제주_기타
3027.42,668.75,0.0,310.05,139.39,32.5,186.82,58.95,145.82,139.05,6.77,144.41,85.13,16.49,14.64,28.15,355.24,74.17,15.77,58.4,179.54,50.16,129.38,62.74,0.29,4.44,58.01,172.52,27.31,140.02,5.19,201.26,170.95,30.32,74.3,602.15,105.23,496.92,70.12,0.79,216.66
3095.04,718.77,0.02,306.76,148.27,33.71,230.02,64.77,159.01,152.07,6.94,139.52,82.3,15.14,13.67,28.41,333.88,67.63,13.9,53.73,176.18,51.78,124.4,62.27,0.16,4.18,57.92,162.43,32.23,124.52,5.68,205.61,188.48,17.13,63.13,636.9,128.64,508.26,67.55,0.57,236.82
3264.49,748.45,0.0,335.82,157.62,36.74,218.27,62.65,145.67,139.63,6.04,165.63,103.29,17.14,15.2,30.0,333.08,75.11,12.0,63.11,177.6,50.97,126.62,66.18,0.59,5.25,60.34,167.92,38.75,123.22,5.95,228.43,212.91,15.51,63.91,717.91,154.23,563.68,70.12,0.43,241.38
3206.35,763.33,0.0,340.99,165.35,39.73,217.25,78.82,135.37,130.68,4.69,136.8,79.23,15.8,14.45,27.32,317.65,78.14,11.79,66.36,168.69,48.83,119.86,60.27,0.2,4.46,55.61,189.48,40.2,143.04,6.25,203.47,189.05,14.43,62.04,705.06,148.73,556.34,69.63,0.58,237.01
3454.82,808.76,0.03,370.45,175.41,44.62,218.25,87.77,128.96,124.66,4.3,132.49,71.79,15.8,15.63,29.29,344.02,92.05,11.77,80.27,199.57,57.89,141.68,73.41,0.22,5.43,67.75,230.94,52.05,173.03,5.86,190.73,172.13,18.6,69.26,767.38,174.39,592.99,78.96,0.65,249.87
3623.56,874.74,0.62,382.43,186.39,46.77,258.54,64.27,156.1,151.13,4.98,115.39,55.77,15.46,15.83,28.34,351.89,74.49,13.3,61.19,192.0,54.76,137.24,69.97,0.2,5.03,64.74,203.79,72.34,124.45,7.0,206.03,188.56,17.48,87.68,893.12,219.65,673.47,82.53,0.55,251.02
3327.95,831.19,0.24,373.09,180.76,46.08,231.01,73.38,164.3,158.17,6.13,139.12,81.78,16.36,14.23,26.74,322.07,68.91,15.51,53.4,174.94,49.17,125.76,65.3,0.3,5.32,59.68,181.75,41.24,134.22,6.29,205.36,187.84,17.51,66.92,716.92,152.87,564.05,71.85,0.87,245.07
3473.47,789.67,7.07,340.29,174.1,44.36,223.84,72.73,160.26,152.92,7.34,158.67,95.93,16.91,14.97,30.86,346.75,79.19,21.9,57.3,211.17,56.85,154.31,81.94,9.6,5.19,67.16,173.85,40.41,127.62,5.82,226.42,209.95,16.47,70.72,747.25,142.29,604.97,84.89,4.62,265.35
3287.05,751.77,0.2,324.93,154.75,40.08,231.81,70.64,158.79,152.49,6.3,159.55,100.61,16.66,13.09,29.19,326.83,73.58,17.48,56.1,187.48,52.79,134.69,68.72,0.16,4.11,64.45,171.78,32.56,134.33,4.89,224.27,209.01,15.25,64.93,696.23,130.38,565.85,76.62,0.6,255.28
3365.38,764.27,5.2,358.79,163.7,43.13,193.45,97.17,131.6,127.23,4.36,164.97,105.23,17.45,13.08,29.21,343.95,72.93,17.2,55.73,189.0,54.24,134.76,82.34,6.09,4.28,71.96,209.89,30.72,174.75,4.42,200.0,179.65,20.35,66.27,694.74,128.74,566.0,80.86,7.27,260.14
3517.37,790.35,0.09,337.75,166.73,39.26,246.53,141.9,146.94,142.29,4.65,139.2,77.29,15.07,13.85,32.99,318.84,90.61,23.6,67.0,211.84,56.57,155.27,67.79,0.15,3.81,63.83,277.79,38.13,234.58,5.07,174.36,154.22,20.14,81.04,744.83,134.13,610.71,80.83,0.76,250.28
3158.95,791.83,0.05,353.9,167.21,39.59,231.08,89.94,157.6,151.84,5.77,137.29,74.57,14.27,13.08,35.37,291.97,72.28,20.1,52.18,177.35,47.14,130.21,56.78,0.25,3.45,53.08,195.08,31.84,158.46,4.77,161.74,144.95,16.79,77.24,643.88,114.99,528.89,74.56,0.63,230.78
3414.75,771.37,0.06,330.23,166.93,45.35,228.8,98.12,155.23,149.07,6.16,166.54,93.6,18.04,17.45,37.45,321.89,86.94,22.5,64.43,207.17,56.27,150.9,71.72,0.27,5.45,66.0,205.91,33.01,167.2,5.7,208.48,176.3,32.18,82.08,695.55,114.22,581.33,81.33,0.97,261.42
3484.51,839.69,0.01,337.98,177.49,51.24,272.99,79.11,178.14,171.09,7.05,165.8,88.89,19.23,16.28,41.41,294.35,71.74,18.47,53.27,207.18,56.74,150.45,71.69,0.39,5.07,66.23,199.55,39.62,153.69,6.23,214.02,194.5,19.51,71.16,752.62,139.28,613.34,83.77,0.97,254.71
3822.47,922.2,0.0,384.1,193.92,58.76,285.42,80.56,178.15,171.41,6.74,191.03,107.6,20.22,18.5,44.71,307.45,78.21,18.58,59.63,204.94,55.15,149.78,72.67,0.21,6.18,66.28,221.9,52.99,160.31,8.6,258.11,239.97,18.14,72.1,879.21,165.54,713.68,89.49,0.7,265.75
3469.22,890.65,0.0,377.35,195.07,64.27,253.96,58.99,145.41,140.72,4.69,154.82,81.87,16.82,16.57,39.56,289.71,77.81,16.57,61.24,195.29,51.17,144.12,73.28,0.29,5.2,67.79,187.93,40.33,140.65,6.94,204.88,187.57,17.31,72.55,777.66,132.36,645.31,84.41,0.67,255.15
3990.23,962.97,0.01,414.58,208.24,73.18,266.96,122.09,143.64,140.02,3.62,150.96,75.3,17.19,18.22,40.25,316.37,104.71,16.5,88.21,216.74,57.79,158.95,84.0,0.62,6.09,77.29,347.47,75.69,263.96,7.82,207.4,186.03,21.37,76.43,913.38,173.23,740.15,89.09,1.21,253.75
4138.53,1083.4,6.12,423.82,220.69,83.16,349.6,48.44,161.44,157.72,3.71,137.79,59.25,16.53,19.37,42.64,330.9,82.68,14.74,67.94,209.46,57.1,152.36,77.77,0.28,5.74,71.75,241.85,95.41,135.5,10.94,232.31,211.2,21.1,88.75,1101.91,236.29,865.62,89.84,0.8,251.21
3696.41,986.99,7.7,418.22,213.55,71.81,275.7,73.96,196.43,188.99,7.45,159.96,88.2,16.85,16.09,38.8,295.02,66.03,15.9,50.12,200.91,54.2,146.72,75.15,0.37,6.5,68.27,212.42,47.67,157.18,7.56,207.42,187.14,20.28,73.36,818.45,145.11,673.34,81.76,0.99,247.55
3896.78,970.9,8.46,347.28,192.02,70.47,352.67,83.23,177.2,170.77,6.42,177.32,98.2,18.11,17.26,43.75,305.67,73.68,19.12,54.56,224.37,55.13,169.24,80.98,0.37,6.31,74.3,241.76,48.86,185.1,7.8,250.32,232.53,17.79,77.25,884.7,177.13,707.57,87.47,0.84,261.1
