충남_합계,충남_종합소매,충남_ 백화점,충남_ 대형마트/유통전문점,충남_ 슈퍼마켓,충남_ 편의점,충남_ 면세점,충남_전자상거래/통신판매,충남_식료품,충남_ 일반식료품,충남_ 건강보조식품,충남_의류/잡화,충남_ 의복/직물,충남_ 복식잡화,충남_ 시계/귀금속/안경,충남_ 화장품,충남_연료,충남_가구/가전,충남_ 가구,충남_ 가전제품/정보통신기기,충남_의료/보건,충남_ 종합병원,충남_ 일반병의원/기타의료기관,충남_자동차,충남_ 국산자동차신품,충남_ 기타운송수단,충남_ 자동차 부품 및 정비,충남_여행/교통,충남_ 여행사/자동차임대,충남_ 항공사,충남_ 대중교통,충남_오락/문화,충남_ 스포츠/오락/여가,충남_ 서적/문구,충남_교육,충남_숙박/음식,충남_ 숙박,충남_ 음식점,충남_공과금/개인 및 전문 서비스,충남_금융/보험,충남_기타
8052.99,1530.86,107.11,915.87,419.4,88.48,0.0,23.7,273.21,243.2,30.01,455.17,252.51,23.25,48.59,130.82,1797.85,254.29,33.43,220.86,560.56,122.4,438.16,255.38,0.27,14.31,240.8,5.3,3.0,0.12,2.18,422.67,346.33,76.34,299.2,1359.84,74.98,1284.86,187.99,1.39,625.6
7737.06,1467.36,93.87,864.91,418.07,90.51,0.0,21.48,274.18,243.85,30.33,444.5,248.71,22.87,45.57,127.35,1724.39,211.0,27.07,183.93,529.79,117.97,411.82,264.72,1.55,16.28,246.89,4.07,2.24,0.11,1.72,392.11,350.28,41.84,264.29,1292.09,67.56,1224.53,180.73,1.25,665.09
8386.51,1643.8,102.73,973.0,469.96,98.09,0.03,22.83,311.97,275.79,36.18,495.59,282.44,24.98,49.27,138.91,1781.13,262.51,29.11,233.4,537.24,117.85,419.39,279.04,0.57,16.94,261.53,4.17,2.18,0.23,1.75,434.41,393.94,40.46,275.84,1448.52,82.71,1365.81,190.4,1.09,697.98
8044.73,1646.13,91.18,972.37,478.15,104.42,0.0,21.16,279.51,239.96,39.55,423.72,222.33,24.8,49.19,127.4,1696.53,283.25,27.42,255.84,517.69,113.93,403.76,267.81,0.14,16.19,251.48,3.79,1.88,0.17,1.73,391.96,355.16,36.8,267.14,1397.85,86.38,1311.47,181.47,0.7,666.01
8312.17,1634.68,85.6,979.24,461.05,108.78,0.0,21.48,269.96,234.13,35.83,416.11,202.69,23.27,52.25,137.91,1739.85,307.15,27.92,279.23,589.32,131.89,457.44,298.59,0.21,16.15,282.24,7.35,1.85,0.14,5.37,379.91,336.0,43.91,277.16,1475.94,101.28,1374.66,183.19,1.44,710.04
8659.15,1707.46,79.82,1019.17,498.48,109.98,0.0,20.49,345.72,297.76,47.95,373.08,165.18,20.02,50.39,137.49,1794.37,263.16,33.43,229.73,591.13,124.94,466.2,290.81,0.26,17.04,273.51,9.41,2.38,0.19,6.85,376.0,333.74,42.26,313.41,1643.12,141.31,1501.81,222.02,0.83,708.14
8133.35,1733.59,108.76,1019.7,489.04,116.08,0.0,22.45,423.24,361.99,61.25,419.56,225.48,22.33,44.14,127.61,1661.66,240.95,31.01,209.93,528.89,109.84,419.05,261.67,0.21,15.9,245.56,8.67,2.31,0.13,6.23,385.55,337.72,47.82,276.37,1338.13,74.93,1263.2,166.63,0.36,665.63
8970.33,1664.84,130.97,949.39,467.58,115.1,1.8,56.95,378.5,319.98,58.52,519.47,304.21,27.65,47.64,139.98,1783.13,262.39,37.06,225.33,621.9,126.14,495.76,319.16,16.29,16.73,286.14,75.1,3.91,2.76,68.42,483.92,441.13,42.78,299.42,1536.19,79.68,1456.51,204.55,19.13,745.66
8188.41,1582.94,112.93,927.23,439.77,103.0,0.0,20.34,312.79,273.65,39.14,488.96,290.72,24.83,39.33,134.08,1664.5,291.68,32.96,258.72,555.99,112.73,443.26,297.61,0.19,11.2,286.21,8.42,2.06,0.13,6.23,423.14,382.22,40.92,290.49,1360.27,72.21,1288.06,178.51,0.46,712.31
8377.41,1731.03,153.29,1010.04,450.97,114.25,2.48,95.64,264.75,240.27,24.47,488.88,290.11,27.75,42.18,128.84,1571.61,205.56,29.2,176.36,571.99,126.32,445.67,348.25,19.03,11.04,318.18,16.05,3.38,2.39,10.28,371.74,319.88,51.85,326.69,1422.22,76.91,1345.31,229.25,19.26,714.52
