날짜,충북_합계,충북_종합소매,충북_ 백화점,충북_ 대형마트/유통전문점,충북_ 슈퍼마켓,충북_ 편의점,충북_ 면세점,충북_전자상거래/통신판매,충북_식료품,충북_ 일반식료품,충북_ 건강보조식품,충북_의류/잡화,충북_ 의복/직물,충북_ 복식잡화,충북_ 시계/귀금속/안경,충북_ 화장품,충북_연료,충북_가구/가전,충북_ 가구,충북_ 가전제품/정보통신기기,충북_의료/보건,충북_ 종합병원,충북_ 일반병의원/기타의료기관,충북_자동차,충북_ 국산자동차신품,충북_ 기타운송수단,충북_ 자동차 부품 및 정비,충북_여행/교통,충북_ 여행사/자동차임대,충북_ 항공사,충북_ 대중교통,충북_오락/문화,충북_ 스포츠/오락/여가,충북_ 서적/문구,충북_교육,충북_숙박/음식,충북_ 숙박,충북_ 음식점,충북_공과금/개인 및 전문 서비스,충북_금융/보험,충북_기타
2020/11,6834.55,1403.0,113.62,604.39,457.6,227.38,0.0,13.91,240.8,226.63,14.17,241.79,154.54,19.35,34.29,33.61,1123.0,321.13,43.29,277.84,654.79,113.16,541.63,295.31,3.15,16.65,275.51,4.04,1.97,0.0,2.07,516.26,487.89,28.38,172.57,1233.63,42.7,1190.93,213.79,1.97,398.56
2020/12,6076.86,1380.62,79.93,587.88,493.29,219.52,0.0,16.68,229.6,216.47,13.14,196.85,111.34,17.73,33.87,33.91,1144.66,241.16,37.22,203.94,683.22,116.99,566.24,326.62,4.62,19.95,302.05,2.49,1.26,0.0,1.24,274.96,237.57,37.39,163.53,850.48,27.31,823.17,190.88,2.49,372.61
2021/01,5943.5,1374.79,76.36,594.78,497.15,206.51,0.0,14.81,230.64,215.52,15.12,182.32,94.81,16.67,37.55,33.3,1159.06,276.26,34.69,241.57,690.71,116.99,573.73,279.72,3.15,15.0,261.57,3.02,1.9,0.0,1.12,205.71,170.47,35.24,179.68,831.02,25.03,805.99,199.22,2.59,313.96
2021/02,5954.78,1343.6,85.51,599.85,466.49,191.75,0.0,10.2,266.44,245.74,20.7,175.55,89.84,15.52,39.16,31.02,1122.04,245.72,31.84,213.87,634.09,110.31,523.78,228.44,2.22,16.77,209.45,2.66,1.38,0.0,1.28,295.65,264.19,31.46,243.17,881.22,26.61,854.62,190.77,1.95,313.28
2021/03,6939.21,1394.82,103.5,588.3,471.83,231.2,0.0,6.28,211.84,199.06,12.79,231.71,129.29,20.62,44.72,37.07,1278.78,279.24,39.28,239.96,718.0,120.51,597.48,290.89,2.64,23.06,265.19,2.98,1.32,0.01,1.66,523.56,475.77,47.79,194.32,1146.81,34.21,1112.6,243.65,2.41,413.91
2021/04,6918.83,1376.2,88.6,575.28,479.51,232.81,0.0,4.86,220.94,207.7,13.24,229.69,128.51,20.27,44.23,36.67,1280.11,250.31,38.48,211.83,703.48,120.78,582.7,300.93,2.4,23.05,275.49,3.79,1.83,0.03,1.93,553.2,520.09,33.11,176.6,1160.34,35.18,1125.16,227.52,2.34,428.53
2021/05,7375.3,1527.37,106.82,651.73,521.31,247.52,0.0,5.26,252.29,236.76,15.53,243.58,137.2,21.91,47.1,37.36,1283.4,286.3,36.91,249.39,687.04,114.87,572.18,289.89,0.06,19.51,270.32,3.63,1.44,0.04,2.15,598.26,560.33,37.94,182.64,1319.73,41.33,1278.4,238.32,1.75,455.83
2021/06,7181.93,1438.23,84.74,597.62,499.57,256.29,0.0,4.71,221.91,209.34,12.57,227.6,125.03,21.06,43.13,38.37,1295.69,278.21,36.97,241.24,712.76,122.91,589.85,311.18,0.16,17.53,293.49,4.35,1.97,0.04,2.34,576.19,545.93,30.26,185.21,1233.0,42.7,1190.3,226.86,2.47,463.57
2021/07,7482.37,1505.62,84.64,635.72,516.77,268.5,0.0,5.13,235.38,223.07,12.3,213.99,110.03,20.8,44.49,38.68,1395.25,300.51,32.66,267.85,737.4,129.87,607.53,331.34,2.23,17.51,311.6,3.76,1.81,0.03,1.91,571.92,534.92,37.0,201.3,1291.66,51.6,1240.06,225.76,2.16,461.19
2021/08,7264.96,1566.88,79.43,664.88,545.36,277.22,0.0,6.01,254.92,243.19,11.73,184.63,86.05,18.69,45.21,34.68,1328.06,253.77,34.41,219.36,711.45,122.04,589.42,290.09,0.61,17.93,271.54,4.82,1.85,0.02,2.95,512.2,478.53,33.67,277.75,1249.64,60.41,1189.23,208.32,2.39,414.02
2021/09,7177.38,1566.4,95.29,665.76,538.69,266.66,0.0,5.02,350.48,322.81,27.67,236.6,130.07,21.46,46.08,38.98,1292.51,222.75,34.84,187.92,659.55,114.44,545.1,277.91,1.23,18.34,258.34,4.65,1.9,0.04,2.7,575.12,538.29,36.83,189.71,1178.03,43.79,1134.24,206.93,2.04,409.67
2021/10,7746.64,1458.85,114.47,589.41,488.02,266.95,0.0,5.61,258.98,243.37,15.6,274.44,166.76,23.42,45.65,38.61,1460.71,256.98,45.24,211.74,755.56,126.58,628.98,332.59,3.19,18.31,311.08,5.32,1.95,0.02,3.35,677.7,643.94,33.76,188.93,1365.41,56.81,1308.6,247.37,2.09,456.09
2021/11,7750.62,1482.93,117.38,612.06,489.13,264.36,0.0,6.02,267.33,253.07,14.26,259.19,161.17,22.19,39.81,36.02,1563.51,253.07,37.47,215.6,736.9,117.51,619.39,331.94,5.73,12.44,313.77,5.11,2.13,0.06,2.93,599.79,569.84,29.95,184.86,1370.87,56.48,1314.39,241.76,1.9,445.44
2021/12,7210.33,1407.43,113.02,576.21,467.73,250.47,0.0,6.44,253.85,240.64,13.22,247.78,142.08,21.67,44.5,39.53,1524.53,216.22,37.99,178.23,749.25,123.42,625.82,333.4,2.14,11.41,319.86,4.34,2.52,0.01,1.81,389.43,344.9,44.53,187.0,1210.67,43.45,1167.21,231.17,2.92,445.89
2022/01,7066.11,1545.86,98.13,660.69,545.96,241.08,0.0,7.12,341.64,318.02,23.62,221.46,121.3,19.2,44.26,36.7,1457.28,223.56,35.49,188.07,768.3,125.34,642.96,280.28,0.12,11.09,269.07,3.17,1.73,0.03,1.41,279.64,244.19,35.45,193.27,1109.8,40.9,1068.9,235.05,2.28,397.41
2022/02,6119.37,1242.53,79.74,512.98,428.69,221.12,0.0,6.39,205.99,195.03,10.97,168.81,85.51,16.23,39.2,27.88,1333.0,227.41,30.13,197.28,691.22,103.29,587.93,221.67,1.24,11.74,208.69,3.0,1.62,0.02,1.36,289.57,259.26,30.31,243.28,935.27,38.27,897.0,196.94,2.24,352.05
2022/03,7410.51,1447.31,90.21,582.63,500.42,274.05,0.0,7.21,227.99,214.31,13.68,219.74,117.69,20.08,44.52,37.46,1605.61,216.03,32.15,183.88,791.7,116.25,675.44,288.96,7.72,16.62,264.62,3.53,1.67,0.03,1.83,522.85,474.57,48.28,193.59,1146.52,39.67,1106.86,260.48,2.76,476.24
2022/04,7927.81,1456.17,103.98,585.29,495.25,271.66,0.0,6.67,245.37,229.23,16.14,255.0,149.81,22.48,45.77,36.94,1701.46,222.81,35.09,187.71,757.39,122.92,634.47,309.24,0.36,21.46,287.42,4.48,1.81,0.02,2.65,633.63,599.71,33.92,179.43,1367.44,46.89,1320.55,263.46,2.54,522.73
