,날짜,서적/문구,소비자물가지수_등락률,소매판매지수_증감률,동월_평균_등락률,전체_평균_대비,소비
0,2010-01,-14.5,0.007900144068397008,-0.09508196721311479,-11.04,0,0
1,2010-02,3.8,0.002015207789012319,-0.016908212560386326,2.8699999999999997,0,1
2,2010-03,39.4,0.002022847655016813,0.054054054054053946,32.06,1,1
3,2010-04,-28.6,0.004025858849888042,-0.01864801864801857,-24.509999999999998,0,0
4,2010-05,-8.9,0.001011145849072026,0.04275534441805218,-6.700000000000001,1,1
5,2010-06,11.6,-0.0010101244659111996,-0.019362186788154934,-1.1099999999999999,1,1
6,2010-07,1.5,0.002010669332062731,0.013937282229965264,8.96,0,1
7,2010-08,-7.4,0.005022386155380865,-0.038946162657502725,-6.390000000000001,1,0
8,2010-09,5.3,0.007963345528408272,0.06793802145411187,7.130000000000001,0,1
9,2010-10,-11.0,0.0,0.01227678571428581,-9.09,1,0
10,2010-11,8.8,-0.004934907313051684,0.012127894156560126,6.7299999999999995,0,1
11,2010-12,21.0,0.003969806457551739,0.035947712418300526,13.899999999999997,1,1
12,2011-01,-16.6,0.01188525059884693,-0.034700315457413256,-11.04,0,0
13,2011-02,5.3,0.006841246828561021,-0.11982570806100223,2.8699999999999997,0,0
14,2011-03,38.9,0.003892363767268092,0.12128712871287117,32.06,1,1
15,2011-04,-26.2,0.0009749209977811812,-0.012141280353200834,-24.509999999999998,0,0
16,2011-05,-8.1,0.0019255527567869635,0.045810055865921795,-6.700000000000001,1,0
17,2011-06,-1.7,0.0019330256880119023,-0.02350427350427342,-1.1099999999999999,1,0
18,2011-07,7.5,0.0048176647708264575,-0.004376367614879695,8.96,0,0
19,2011-08,-4.7,0.0067146123282499914,-0.03186813186813198,-6.390000000000001,1,0
20,2011-09,11.7,-0.000959132150771036,0.049943246311010325,7.130000000000001,0,1
21,2011-10,-6.1,-0.0018980357536968473,0.012972972972973063,-9.09,1,1
22,2011-11,9.6,0.0009508225720857855,-0.0010672358591249376,6.7299999999999995,0,0
23,2011-12,14.5,0.003810723043276454,0.04380341880341887,13.899999999999997,1,1
24,2012-01,-13.7,0.003994322120622007,-0.0399181166837258,-11.04,0,0
25,2012-02,11.0,0.0037921132811642444,-0.08955223880597007,2.8699999999999997,0,0
26,2012-03,14.6,0.00028387998427747974,0.07377049180327866,32.06,1,1
27,2012-04,-23.0,-9.82382605279053e-05,-0.019629225736095934,-24.509999999999998,0,0
28,2012-05,-7.3,0.0017902952895585411,0.07007786429365948,-6.700000000000001,1,0
29,2012-06,-0.8,-0.0014166003770337277,-0.03638253638253641,-1.1099999999999999,1,0
30,2012-07,8.7,-0.002258863584281734,0.01941747572815533,8.96,0,1
31,2012-08,-9.9,0.004626389010412124,-0.05396825396825389,-6.390000000000001,1,0
32,2012-09,18.1,0.00715257743182196,0.06599552572706924,7.130000000000001,0,0
33,2012-10,-17.7,-0.0018700276720857723,-0.0010493179433367361,-9.09,1,0
34,2012-11,12.6,-0.0035521285697267535,0.024159663865546133,6.7299999999999995,0,1
35,2012-12,8.2,0.0017823955831368643,0.02358974358974364,13.899999999999997,1,1
36,2013-01,-6.9,0.005999457553566456,-0.08617234468937873,-11.04,0,0
37,2013-02,-1.1,0.0033431110344233073,-0.04824561403508776,2.8699999999999997,0,0
38,2013-03,32.9,-0.0009243534899717742,0.07834101382488479,32.06,1,1
39,2013-04,-17.8,-0.0013878130648077303,-0.018162393162392987,-24.509999999999998,0,0
40,2013-05,-13.3,0.0,0.052230685527747456,-6.700000000000001,1,1
41,2013-06,-4.9,-0.0012173706947631313,-0.03619441571871773,-1.1099999999999999,1,0
42,2013-07,12.3,0.0021464782655593595,0.02253218884120156,8.96,0,0
43,2013-08,-8.8,0.0035410993552831282,-0.044071353620146914,-6.390000000000001,1,0
44,2013-09,4.8,0.0019412685814796937,0.03183315038419332,7.130000000000001,0,0
45,2013-10,-4.4,-0.003050771256382534,0.03297872340425534,-9.09,1,1
46,2013-11,4.8,-0.00019326991216961353,0.016477857878475888,6.7299999999999995,0,1
47,2013-12,13.1,0.0012135401005197721,0.012158054711246313,13.899999999999997,1,1
48,2014-01,-10.4,0.005373864355511682,-0.03503503503503502,-11.04,0,0
49,2014-02,1.7,0.0026672356769443795,-0.10062240663900412,2.8699999999999997,0,0
50,2014-03,31.8,0.001840817195147837,0.10380622837370246,32.06,1,1
51,2014-04,-26.2,0.0006478816394590581,-0.03343782654127481,-24.509999999999998,0,0
52,2014-05,-5.3,0.0016451907359840146,0.06054054054054059,-6.700000000000001,1,0
53,2014-06,-6.1,-0.001282200722694915,-0.03669724770642191,-1.1099999999999999,1,0
54,2014-07,15.4,0.0014642220524572203,0.020105820105820182,8.96,0,0
55,2014-08,-6.8,0.001748140614074245,-0.024896265560165998,-6.390000000000001,1,0
56,2014-09,5.4,-0.0006451544669014986,0.018085106382978777,7.130000000000001,0,1
57,2014-10,-6.6,-0.003016192189649658,0.017763845350052376,-9.09,1,1
58,2014-11,7.1,-0.0020168780850272627,0.026694045174537884,6.7299999999999995,0,1
59,2014-12,10.5,-9.57294048822277e-05,0.052000000000000046,13.899999999999997,1,1
60,2015-01,-7.5,0.006776163223624065,-0.1045627376425855,-11.04,0,0
61,2015-02,-2.2,-0.0005916972200796788,-0.013800424628450103,2.8699999999999997,0,0
62,2015-03,36.8,9.515049636843464e-05,0.06781485468245418,32.06,1,1
63,2015-04,-23.8,0.0003065668738635452,-0.005040322580645129,-24.509999999999998,0,0
64,2015-05,-7.7,0.0028005284015852894,0.03951367781155013,-6.700000000000001,1,0
65,2015-06,-6.0,0.00020023184740236566,-0.07407407407407407,-1.1099999999999999,1,0
66,2015-07,15.2,0.001801725863721959,0.030526315789473735,8.96,0,0
67,2015-08,-8.0,0.0013988220445939614,-0.023493360572012345,-6.390000000000001,1,0
68,2015-09,5.0,-0.0025941835673699565,0.06903765690376584,7.130000000000001,0,1
69,2015-10,-5.3,0.0,0.04011741682974557,-9.09,1,1
70,2015-11,-3.0,-0.001895415201229822,0.0,6.7299999999999995,0,0
71,2015-12,24.0,0.002996223070917514,0.02539981185324547,13.899999999999997,1,1
72,2016-01,-11.1,0.0017040075733669724,-0.0862385321100918,-11.04,0,0
73,2016-02,-1.2,0.004284274193548487,-0.04016064257028118,2.8699999999999997,0,0
74,2016-03,36.2,-0.0025826014219991755,0.09309623430962355,32.06,1,1
75,2016-04,-26.1,0.0018869309068798579,-0.022966507177033524,-24.509999999999998,0,0
76,2016-05,-6.2,0.0005964027497304958,0.050930460333006966,-6.700000000000001,1,1
77,2016-06,-0.1,-0.00019868242183407325,-0.03634669151910519,-1.1099999999999999,1,0
78,2016-07,10.8,-0.0018826285678427146,-0.012572533849129708,8.96,0,0
79,2016-08,-8.5,0.0025777787092244875,-0.012732615083251742,-6.390000000000001,1,0
80,2016-09,4.3,0.005957544655455171,0.01388888888888884,7.130000000000001,0,0
81,2016-10,-5.5,0.0013714713185866145,0.0606653620352251,-9.09,1,1
82,2016-11,5.4,-0.0014733500036315794,0.0064575645756457245,6.7299999999999995,0,0
83,2016-12,12.7,0.0010910564543782364,0.019248395967002896,13.899999999999997,1,1
84,2017-01,-14.1,0.010628801561105128,-0.0710431654676259,-11.04,0,0
85,2017-02,10.1,0.002731959821703711,-0.07841239109390119,2.8699999999999997,0,0
86,2017-03,27.5,-0.0006862504097018274,0.1071428571428572,32.06,1,1
87,2017-04,-24.0,-0.0012606979962076492,-0.014231499051233443,-24.509999999999998,0,0
88,2017-05,-6.6,0.0010673015742699299,0.03561116458132818,-6.700000000000001,1,1
89,2017-06,0.2,-0.0021323273122425546,-0.03159851301115235,-1.1099999999999999,1,1
90,2017-07,7.4,0.0016540302862191325,0.006717850287907945,8.96,0,0
91,2017-08,-5.1,0.005733392137355464,-0.03431839847473794,-6.390000000000001,1,0
92,2017-09,11.4,0.0011625772501988596,0.08094768015794673,7.130000000000001,0,1
93,2017-10,-19.4,-0.0009676893615286897,-0.013698630136986356,-9.09,1,0
94,2017-11,11.2,-0.007443131417151916,0.06481481481481488,6.7299999999999995,0,1
95,2017-12,14.2,0.003605658109649079,-0.01826086956521733,13.899999999999997,1,1
96,2018-01,-11.5,0.00417613461892774,-0.06731620903454394,-11.04,0,0
97,2018-02,2.4,0.0076345993109494525,-0.03418803418803418,2.8699999999999997,0,0
98,2018-03,33.4,-0.001052045925850953,0.11406096361848572,32.06,1,1
99,2018-04,-25.3,0.0018227663517331738,-0.030008826125330956,-24.509999999999998,0,0
100,2018-05,-0.9,0.0004851866452375564,0.0263876251137396,-6.700000000000001,1,1
101,2018-06,-2.1,-0.002020630638822407,-0.03634751773049638,-1.1099999999999999,1,0
102,2018-07,6.5,-0.0019133621518743205,0.01931922723091062,8.96,0,1
103,2018-08,-3.1,0.008844710416878065,-0.03429602888086636,-6.390000000000001,1,0
104,2018-09,4.4,0.007631055076310567,0.028037383177569986,7.130000000000001,0,0
105,2018-10,-8.4,-0.0017960307719939728,0.032727272727272716,-9.09,1,1
106,2018-11,5.3,-0.0071070860947011205,0.022887323943661997,6.7299999999999995,0,1
107,2018-12,12.2,-0.0034430685593476174,0.001721170395869276,13.899999999999997,1,1
108,2019-01,-4.1,-0.0010506323998868972,-0.05670103092783507,-11.04,0,0
109,2019-02,-1.1,0.004318191011690509,-0.09107468123861562,2.8699999999999997,0,0
110,2019-03,29.1,-0.0019131818227589026,0.16232464929859725,32.06,1,1
111,2019-04,-24.1,0.003631924617386817,-0.039655172413793016,-24.509999999999998,0,0
112,2019-05,-2.7,0.001718921201033341,0.04667863554757612,-6.700000000000001,1,0
113,2019-06,-1.2,-0.0016156223658331248,-0.05660377358490565,-1.1099999999999999,1,0
114,2019-07,4.3,-0.0030555527635666158,0.00454545454545463,8.96,0,0
115,2019-08,-1.6,0.0023995080000402957,0.009049773755656076,-6.390000000000001,1,0
116,2019-09,0.9,0.003711340206185465,0.016143497757847403,7.130000000000001,0,0
117,2019-10,-6.5,0.0024750987033288485,0.02118270079435125,-9.09,1,0
118,2019-11,5.5,-0.005597704940974224,0.04062229904926529,6.7299999999999995,0,1
119,2019-12,8.6,0.0023924166423738846,0.009966777408637828,13.899999999999997,1,1
