,날짜,의류/잡화,소비자물가지수_등락률,소매판매지수_증감률,동월_평균_등락률,전체_평균_대비,소비
0,2010-01,-18.0,0.007900144068397008,-0.09508196721311479,-14.599999999999998,0,0
1,2010-02,11.1,0.002015207789012319,-0.016908212560386326,1.5230769230769228,0,1
2,2010-03,4.6,0.002022847655016813,0.054054054054053946,7.538461538461538,0,1
3,2010-04,4.2,0.004025858849888042,-0.01864801864801857,6.346153846153846,0,0
4,2010-05,6.0,0.001011145849072026,0.04275534441805218,7.875,0,1
5,2010-06,-9.2,-0.0010101244659111996,-0.019362186788154934,-9.166666666666666,1,0
6,2010-07,-10.0,0.002010669332062731,0.013937282229965264,-8.758333333333333,1,0
7,2010-08,-6.8,0.005022386155380865,-0.038946162657502725,-11.649999999999999,0,0
8,2010-09,17.4,0.007963345528408272,0.06793802145411187,18.533333333333335,1,1
9,2010-10,12.1,0.0,0.01227678571428581,12.25,1,1
10,2010-11,13.0,-0.004934907313051684,0.012127894156560126,3.633333333333333,0,1
11,2010-12,-8.7,0.003969806457551739,0.035947712418300526,-6.316666666666666,1,0
12,2011-01,-13.1,0.01188525059884693,-0.034700315457413256,-14.599999999999998,0,0
13,2011-02,3.4,0.006841246828561021,-0.11982570806100223,1.5230769230769228,0,0
14,2011-03,2.9,0.003892363767268092,0.12128712871287117,7.538461538461538,0,0
15,2011-04,7.6,0.0009749209977811812,-0.012141280353200834,6.346153846153846,0,0
16,2011-05,7.6,0.0019255527567869635,0.045810055865921795,7.875,0,0
17,2011-06,-9.8,0.0019330256880119023,-0.02350427350427342,-9.166666666666666,1,0
18,2011-07,-11.6,0.0048176647708264575,-0.004376367614879695,-8.758333333333333,1,0
19,2011-08,-9.7,0.0067146123282499914,-0.03186813186813198,-11.649999999999999,0,0
20,2011-09,23.4,-0.000959132150771036,0.049943246311010325,18.533333333333335,1,1
21,2011-10,11.8,-0.0018980357536968473,0.012972972972973063,12.25,1,1
22,2011-11,-2.0,0.0009508225720857855,-0.0010672358591249376,3.633333333333333,0,0
23,2011-12,2.0,0.003810723043276454,0.04380341880341887,-6.316666666666666,1,1
24,2012-01,-13.1,0.003994322120622007,-0.0399181166837258,-14.599999999999998,0,0
25,2012-02,4.0,0.0037921132811642444,-0.08955223880597007,1.5230769230769228,0,0
26,2012-03,-0.9,0.00028387998427747974,0.07377049180327866,7.538461538461538,0,0
27,2012-04,6.9,-9.82382605279053e-05,-0.019629225736095934,6.346153846153846,0,0
28,2012-05,10.9,0.0017902952895585411,0.07007786429365948,7.875,0,0
29,2012-06,-14.4,-0.0014166003770337277,-0.03638253638253641,-9.166666666666666,1,0
30,2012-07,-7.9,-0.002258863584281734,0.01941747572815533,-8.758333333333333,1,1
31,2012-08,-17.5,0.004626389010412124,-0.05396825396825389,-11.649999999999999,0,0
32,2012-09,33.0,0.00715257743182196,0.06599552572706924,18.533333333333335,1,1
33,2012-10,8.5,-0.0018700276720857723,-0.0010493179433367361,12.25,1,1
34,2012-11,6.2,-0.0035521285697267535,0.024159663865546133,3.633333333333333,0,1
35,2012-12,-6.3,0.0017823955831368643,0.02358974358974364,-6.316666666666666,1,0
36,2013-01,-15.6,0.005999457553566456,-0.08617234468937873,-14.599999999999998,0,0
37,2013-02,3.1,0.0033431110344233073,-0.04824561403508776,1.5230769230769228,0,0
38,2013-03,6.9,-0.0009243534899717742,0.07834101382488479,7.538461538461538,0,1
39,2013-04,2.3,-0.0013878130648077303,-0.018162393162392987,6.346153846153846,0,0
40,2013-05,11.7,0.0,0.052230685527747456,7.875,0,1
41,2013-06,-12.5,-0.0012173706947631313,-0.03619441571871773,-9.166666666666666,1,0
42,2013-07,-8.9,0.0021464782655593595,0.02253218884120156,-8.758333333333333,1,0
43,2013-08,-14.9,0.0035410993552831282,-0.044071353620146914,-11.649999999999999,0,0
